open-handle-shopping-basket valid {'plus': False, 'heart': False, 'check': True}
cargo-delivery-truck-container valid {'plus': False, 'heart': True, 'check': True}
takeaway-cup-with-straw-container valid {'plus': True, 'heart': False, 'check': False}
blank-calendar-container valid {'plus': False, 'heart': False, 'check': True}
overlapping-squares-container valid {'plus': True, 'heart': False, 'check': True}
pull-down-projection-screen valid {'plus': False, 'heart': False, 'check': False}
ribbon-bookmark-container valid {'plus': True, 'heart': False, 'check': True}
open-book-container valid {'plus': True, 'heart': True, 'check': True}
sedan-profile-container valid {'plus': True, 'heart': True, 'check': True}
dental-floss-container-main valid {'plus': True, 'heart': False, 'check': True}
water-droplet-container valid {'plus': False, 'heart': False, 'check': True}
delivery-van-container valid {'plus': False, 'heart': False, 'check': False}
brain-hemispheres-container valid {'plus': False, 'heart': True, 'check': True}
point-top-hexagon-container valid {'plus': True, 'heart': True, 'check': True}
rounded-gear-container valid {'plus': True, 'heart': True, 'check': False}
settings-gear-container valid {'plus': True, 'heart': True, 'check': True}
car-battery-container valid {'plus': True, 'heart': True, 'check': True}
network-folder-container valid {'plus': True, 'heart': False, 'check': False}
light-bulb-container valid {'plus': True, 'heart': False, 'check': False}
photo-camera-container valid {'plus': False, 'heart': False, 'check': False}
heart-outline-container valid {'plus': False, 'heart': True, 'check': True}
shipping-box-container valid {'plus': True, 'heart': False, 'check': False}
laptop-container valid {'plus': True, 'heart': False, 'check': False}
closed-padlock-container valid {'plus': False, 'heart': False, 'check': True}
trophy-cup-container valid {'plus': True, 'heart': True, 'check': False}
billboard-container valid {'plus': False, 'heart': False, 'check': False}
headphones-container valid {'plus': True, 'heart': True, 'check': True}
blank-receipt-container valid {'plus': True, 'heart': True, 'check': True}
tabbed-folder-container valid {'plus': False, 'heart': False, 'check': True}
bottom-fold-note-container valid {'plus': True, 'heart': False, 'check': True}
medical-cross-container valid {'plus': True, 'heart': False, 'check': True}
flower-vase-container valid {'plus': False, 'heart': False, 'check': False}
clockwise-refresh-container valid {'plus': True, 'heart': False, 'check': False}
payment-card-container valid {'plus': False, 'heart': False, 'check': True}
awning-storefront-container valid {'plus': False, 'heart': False, 'check': False}
wheeled-suitcase-container valid {'plus': False, 'heart': False, 'check': True}
gift-box-container valid {'plus': False, 'heart': True, 'check': True}
crown-top-shield-container valid {'plus': True, 'heart': True, 'check': True}
five-point-star-container valid {'plus': False, 'heart': False, 'check': True}
square-front-smartwatch-container valid {'plus': False, 'heart': False, 'check': True}
refresh-magnifier-container valid {'plus': False, 'heart': False, 'check': False}
medal-with-top-ribbon-container valid {'plus': False, 'heart': False, 'check': False}
iv-infusion-bag-container valid {'plus': True, 'heart': True, 'check': True}
arched-handle-shopping-basket valid {'plus': True, 'heart': True, 'check': True}
smartphone-home-bar-container valid {'plus': True, 'heart': False, 'check': False}
wavy-flag-container valid {'plus': True, 'heart': True, 'check': True}
overlapping-documents-container valid {'plus': True, 'heart': False, 'check': True}
