shopping-basket  11 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/shopping-basket.svg)
     0.0  line/diagonal        from <path>  d=M15 11L14 20
     1.0  line/diagonal        from <path>  d=M19 11L15 4
     2.0  line/horizontal      from <path>  d=M2 11L22 11
     3.0  line/diagonal        from <path>  d=M3.5 11L5.1 18.4
     3.1  arc/circular         from <path>  d=M5.1 18.4A2 2 0 0 0 7.1 20
     3.2  line/horizontal      from <path>  d=M7.1 20L16.9 20
     3.3  arc/circular         from <path>  d=M16.9 20A2 2 0 0 0 18.9 18.4
     3.4  line/diagonal        from <path>  d=M18.9 18.4L20.6 11
     4.0  line/horizontal      from <path>  d=M4.5 15.5L19.5 15.5
     5.0  line/diagonal        from <path>  d=M5 11L9 4
     6.0  line/diagonal        from <path>  d=M9 11L10 20
truck  23 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/truck.svg)
     0.0  line/vertical        from <path>  d=M14 18L14 6
     0.1  arc/quarter-circle   from <path>  d=M14 6A2 2 0 0 0 12 4
     0.2  line/horizontal      from <path>  d=M12 4L4 4
     0.3  arc/quarter-circle   from <path>  d=M4 4A2 2 0 0 0 2 6
     0.4  line/vertical        from <path>  d=M2 6L2 17
     0.5  arc/quarter-circle   from <path>  d=M2 17A1 1 0 0 0 3 18
     0.6  line/horizontal      from <path>  d=M3 18L5 18
     1.0  line/horizontal      from <path>  d=M15 18L9 18
     2.0  line/horizontal      from <path>  d=M19 18L21 18
     2.1  arc/quarter-circle   from <path>  d=M21 18A1 1 0 0 0 22 17
     2.2  line/vertical        from <path>  d=M22 17L22 13.35
     2.3  arc/circular         from <path>  d=M22 13.35A1 1 0 0 0 21.78 12.726
     2.4  line/diagonal        from <path>  d=M21.78 12.726L18.3 8.376
     2.5  arc/circular         from <path>  d=M18.3 8.376A1 1 0 0 0 17.52 8
     2.6  line/horizontal      from <path>  d=M17.52 8L14 8
     3.0  arc/quarter-circle   from <circle>  d=M19 18A2 2 0 0 1 17 20
     3.1  arc/quarter-circle   from <circle>  d=M17 20A2 2 0 0 1 15 18
     3.2  arc/quarter-circle   from <circle>  d=M15 18A2 2 0 0 1 17 16
     3.3  arc/quarter-circle   from <circle>  d=M17 16A2 2 0 0 1 19 18
     4.0  arc/quarter-circle   from <circle>  d=M9 18A2 2 0 0 1 7 20
     4.1  arc/quarter-circle   from <circle>  d=M7 20A2 2 0 0 1 5 18
     4.2  arc/quarter-circle   from <circle>  d=M5 18A2 2 0 0 1 7 16
     4.3  arc/quarter-circle   from <circle>  d=M7 16A2 2 0 0 1 9 18
cup-soda  10 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/cup-soda.svg)
     0.0  line/diagonal        from <path>  d=M6 8L7.75 20.28
     0.1  arc/circular         from <path>  d=M7.75 20.28A2 2 0 0 0 9.75 22
     0.2  line/horizontal      from <path>  d=M9.75 22L14.29 22
     0.3  arc/circular         from <path>  d=M14.29 22A2 2 0 0 0 16.29 20.28
     0.4  line/diagonal        from <path>  d=M16.29 20.28L18 8
     1.0  line/horizontal      from <path>  d=M5 8L19 8
     2.0  arc/circular         from <path>  d=M7 15A6.47 6.47 0 0 1 12 15
     2.1  arc/circular         from <path>  d=M12 15A6.47 6.47 0 0 0 17 15
     3.0  line/diagonal        from <path>  d=M12 8L13 2
     3.1  line/horizontal      from <path>  d=M13 2L15 2
calendar  11 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/calendar.svg)
     0.0  line/vertical        from <path>  d=M8 2L8 5
     1.0  line/vertical        from <path>  d=M16 2L16 5
     2.0  line/horizontal      from <rect>  d=M5 3L19 3
     2.1  arc/quarter-circle   from <rect>  d=M19 3A2 2 0 0 1 21 5
     2.2  line/vertical        from <rect>  d=M21 5L21 19
     2.3  arc/quarter-circle   from <rect>  d=M21 19A2 2 0 0 1 19 21
     2.4  line/horizontal      from <rect>  d=M19 21L5 21
     2.5  arc/quarter-circle   from <rect>  d=M5 21A2 2 0 0 1 3 19
     2.6  line/vertical        from <rect>  d=M3 19L3 5
     2.7  arc/quarter-circle   from <rect>  d=M3 5A2 2 0 0 1 5 3
     3.0  line/horizontal      from <path>  d=M3 9L21 9
squares-exclude  21 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/squares-exclude.svg)
     0.0  line/vertical        from <path>  d=M16 12L16 14
     0.1  arc/quarter-circle   from <path>  d=M16 14A2 2 0 0 1 14 16
     0.2  line/horizontal      from <path>  d=M14 16L9 16
     0.3  arc/quarter-circle   from <path>  d=M9 16A1 1 0 0 0 8 17
     0.4  line/vertical        from <path>  d=M8 17L8 20
     0.5  arc/quarter-circle   from <path>  d=M8 20A2 2 0 0 0 10 22
     0.6  line/horizontal      from <path>  d=M10 22L20 22
     0.7  arc/quarter-circle   from <path>  d=M20 22A2 2 0 0 0 22 20
     0.8  line/vertical        from <path>  d=M22 20L22 10
     0.9  arc/quarter-circle   from <path>  d=M22 10A2 2 0 0 0 20 8
    0.10  line/horizontal      from <path>  d=M20 8L20 8
     1.0  arc/quarter-circle   from <path>  d=M4 16A2 2 0 0 1 2 14
     1.1  line/vertical        from <path>  d=M2 14L2 4
     1.2  arc/quarter-circle   from <path>  d=M2 4A2 2 0 0 1 4 2
     1.3  line/horizontal      from <path>  d=M4 2L14 2
     1.4  arc/quarter-circle   from <path>  d=M14 2A2 2 0 0 1 16 4
     1.5  line/vertical        from <path>  d=M16 4L16 7
     1.6  arc/quarter-circle   from <path>  d=M16 7A1 1 0 0 1 15 8
     1.7  line/horizontal      from <path>  d=M15 8L10 8
     1.8  arc/quarter-circle   from <path>  d=M10 8A2 2 0 0 0 8 10
     1.9  line/vertical        from <path>  d=M8 10L8 12
projector  17 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/projector.svg)
     0.0  line/diagonal        from <path>  d=M5 7L3 5
     1.0  line/vertical        from <path>  d=M9 6L9 3
     2.0  line/diagonal        from <path>  d=M13 7L15 5
     3.0  arc/quarter-circle   from <circle>  d=M12 13A3 3 0 0 1 9 16
     3.1  arc/quarter-circle   from <circle>  d=M9 16A3 3 0 0 1 6 13
     3.2  arc/quarter-circle   from <circle>  d=M6 13A3 3 0 0 1 9 10
     3.3  arc/quarter-circle   from <circle>  d=M9 10A3 3 0 0 1 12 13
     4.0  line/horizontal      from <path>  d=M11.83 12L20 12
     4.1  arc/quarter-circle   from <path>  d=M20 12A2 2 0 0 1 22 14
     4.2  line/vertical        from <path>  d=M22 14L22 18
     4.3  arc/quarter-circle   from <path>  d=M22 18A2 2 0 0 1 20 20
     4.4  line/horizontal      from <path>  d=M20 20L4 20
     4.5  arc/quarter-circle   from <path>  d=M4 20A2 2 0 0 1 2 18
     4.6  line/vertical        from <path>  d=M2 18L2 14
     4.7  arc/quarter-circle   from <path>  d=M2 14A2 2 0 0 1 4 12
     4.8  line/horizontal      from <path>  d=M4 12L6.17 12
     5.0  line/horizontal      from <path>  d=M16 16L18 16
bookmark  10 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/bookmark.svg)
