family,icon,build_status,released,overlay_distance_passed,overlay_holes_passed,lowest_distance,failed_holes,pinches
solo,a-frame-church,pass,True,True,True,15.0,0,0
solo,abdominal-muscles,pass,True,True,True,9.0,0,0
solo,abdominal-torso,pass,True,True,True,33.41,0,0
solo,about-me-logo,pass,True,True,True,8.0,0,0
solo,abyssinian-cat-face,pass,True,True,True,36.0,0,0
solo,academic-graduation-cap,pass,True,True,True,17.89,0,0
solo,accordion,pass,True,True,True,8.0,0,0
solo,account-profile-card,pass,True,True,True,10.0,0,0
solo,acorn,pass,True,True,True,1024.0,0,0
solo,acoustic-guitar,pass,True,True,True,1024.0,0,0
solo,acro-yoga-folded-balance,pass,True,True,True,8.59,0,0
solo,acro-yoga-stacked-bridge,pass,True,True,True,21.0,0,0
solo,acro-yoga-supported-balance,pass,True,True,True,22.0,0,0
solo,acrobatic-hanging,pass,True,True,True,1024.0,0,0
solo,acrobatic-hanging-sports,pass,True,True,True,22.0,0,0
solo,action,pass,True,True,True,8.0,0,0
solo,action-camera-on-mount,pass,True,True,True,12.0,0,0
solo,actions-authentication-square-circle,pass,True,True,True,10.0,0,0
solo,actions-authentication-squares,pass,True,True,True,10.0,0,0
solo,adaptive-headlight,pass,True,True,True,10.9,0,0
solo,add,pass,True,True,True,1024.0,0,0
solo,add-1,pass,True,True,True,1024.0,0,0
solo,add-bd3e56c0,pass,True,True,True,1024.0,0,0
solo,add-bold,pass,True,True,True,10.0,0,0
solo,add-circle-1,pass,True,True,True,1024.0,0,0
solo,add-interface-essential,pass,True,True,True,1024.0,0,0
solo,add-tab,pass,True,True,True,16.0,0,0
solo,adjustable-lamp-2,pass,True,True,True,11.0,0,0
solo,admob-logo,pass,True,True,True,10.0,0,0
solo,adobe-cloud-logo,pass,True,True,True,8.03,0,0
solo,adult-and-child-walking-in-park,pass,True,True,True,8.49,0,0
solo,adult-child-stretching,fail,False,True,False,21.27,0,1
solo,adult-swinging-child-by-hands,fail,False,True,False,1024.0,0,1
solo,adventure-car,pass,True,True,True,10.0,0,0
solo,advertising-technorati,pass,True,True,True,1024.0,0,0
solo,aerial-yoga-inversion,pass,True,True,True,16.0,0,0
solo,affinity-designer-logo,pass,True,True,True,8.12,0,0
solo,affinity-publisher-logo,pass,True,True,True,8.74,0,0
solo,afghan-hound-head,pass,True,True,True,10.0,0,0
solo,afternoon-sun,pass,True,True,True,1024.0,0,0
solo,ai-letters,pass,True,True,True,1024.0,0,0
solo,aiming-rifle-shooter,fail,False,False,True,6.93,0,0
solo,air-pollution-fire,pass,True,True,True,1024.0,0,0
solo,air-traffic-control-tower,pass,True,True,True,8.0,0,0
solo,airbnb-logo,pass,True,True,True,1024.0,0,0
solo,airchair,fail,False,False,True,7.06,0,0
solo,aircraft-releasing-bomb,fail,False,False,True,7.15,0,0
solo,airmail,pass,True,True,True,20.51,0,0
solo,airplane,pass,True,True,True,8.49,0,0
solo,airplane-departing-runway,fail,False,False,True,5.47,0,0
solo,airplane-diagonal,fail,False,False,True,5.76,0,0
solo,airplane-horizontal,pass,True,True,True,10.0,0,0
solo,airplane-other,fail,False,False,True,6.12,0,0
solo,airplane-rising-above-ground-line,pass,True,True,True,8.29,0,0
solo,airplane-taking-off,fail,False,False,True,7.87,0,0
solo,airplane-top-view,pass,True,True,True,8.0,0,0
solo,airplane-top-view-fuselage,pass,True,True,True,8.0,0,0
solo,airplane-top-view-rounded-wings,pass,True,True,True,8.0,0,0
solo,airplane-top-view-swept-wings,pass,True,True,True,8.25,0,0
solo,airplane-with-landing-wheel,fail,False,False,True,5.11,0,0
solo,airport-signal-antenna,pass,True,True,True,12.0,0,0
solo,airship-over-cloud,pass,True,True,True,12.0,0,0
solo,alarm-bell-ringing,pass,True,True,True,1024.0,0,0
solo,alarm-bell-with-pull-cord,pass,True,True,True,8.0,0,0
solo,alcove,pass,True,True,True,8.0,0,0
solo,alien-head-angular-eyes,pass,True,True,True,1024.0,0,0
solo,alien-head-slanted-eyes,pass,True,True,True,1024.0,0,0
solo,alien-head-twin-hanging-lobes,pass,True,True,True,8.0,0,0
solo,align-justify,pass,True,True,True,9.0,0,0
solo,align-left,pass,True,True,True,9.0,0,0
solo,align-stroke-to-center,pass,True,True,True,9.0,0,0
