uuid,category,concept,icon_id,reference,primary,all_categories,origin,previous_runs,newest_run,current_drawing,error_count,first_errors
cd921e04-704d-5a6b-a478-676cad6d9f2e,design,Vector Pen Tool and Bezier Curve,design-pen-tool,pictographic-primitives/design/design pen tool_cd921e04-704d-5a6b-a478-676cad6d9f2e.svg,spacing,spacing parallel holes,primitive-make-ray,1,20260923T113119Z-gpt6-3648961c,published/failed/solo48/design-pen-tool.svg,6,"mic [control]: parallel straight edges control-4 and control-2 are 5.656 apart on centerlines (ink gap 1.656); requires at least 8 centerline / 4 ink (midpoint-normal) | mic [control]: parallel straight edges control-1 and control-3 are 5.656 apart on centerlines (ink gap 1.656); requires at least 8 centerline / 4 ink (midpoint-normal) | mic [control]: control and handle-left are 4 apart on centerlines nearest (20, 10)<->(16, 10); (needs 8)"
0cd83d52-cde5-4493-95b0-2a1a4f137c27,ecology,Noisy Passenger Car,noise-pollution-car,pictographic-primitives/ecology/noise pollution car_0cd83d52-cde5-4493-95b0-2a1a4f137c27.svg,pinches,pinches holes,primitive-make-ray,1,20260923-batch29-caa9711eeb05,published/failed/solo48/noise-pollution-car.svg,1,holes/pinches: 3 undersized holes; 2 pinches
3a11e17f-1153-59b2-b135-910a41a584c7,entertainment,Rock Hand with Lightning,concert-rock,pictographic-primitives/entertainment/concert rock_3a11e17f-1153-59b2-b135-910a41a584c7.svg,spacing,spacing parallel,primitive-make-ray,2,20260923T182419-f22452,published/failed/solo48/concert-rock.svg,4,"mic [top-bolt]: parallel straight edges top-bolt-1 and top-bolt-3 are 4.242 apart on centerlines (ink gap 0.242); requires at least 8 centerline / 4 ink (midpoint-normal) | mic [hand]: hand and left-bolt are 2 apart on centerlines nearest (12, 14)<->(12, 12); (needs 8) | mic [hand]: hand and top-bolt are 7.313 apart on centerlines nearest (33.171, 15.171)<->(28, 10); (needs 8)"
24bf1d97-6037-5919-9f14-530a400a7d7a,finance,Zero X Cryptocurrency Logo,virtual-coin-crypto-0x-zrx,pictographic-primitives/finance/virtual coin crypto 0x zrx_24bf1d97-6037-5919-9f14-530a400a7d7a.svg,spacing,spacing parallel,primitive-make-ray,1,20260923-212724-batch54-gpt6,published/failed/solo48/virtual-coin-crypto-0x-zrx.svg,5,mic [x-outline]: parallel straight edges x-outline-10 and x-outline-8 are 5.656 apart on centerlines (ink gap 1.656); requires at least 8 centerline / 4 ink (midpoint-normal) | mic [x-outline]: parallel straight edges x-outline-2 and x-outline-4 are 5.656 apart on centerlines (ink gap 1.656); requires at least 8 centerline / 4 ink (midpoint-normal) | mic [x-outline]: parallel straight edges x-outline-1 and x-outline-11 are 5.656 apart on centerlines (ink gap 1.656); requires at least 8 centerline / 4 ink (midpoint-normal)
aba5bfb7-5990-4b45-9606-e4cfe58ad1ea,food,Crossed Fork and Knife,crossed-fork-and-chef-knife,pictographic-primitives/food/symbol fork cross knife_aba5bfb7-5990-4b45-9606-e4cfe58ad1ea.svg,clearance,clearance,model tree,0,,published/failed/solo48/crossed-fork-and-chef-knife.svg,2,internal-spacing [fork-head / knife-handle]: fork-left-curve and knife-handle-1 have 1.673 units of ink clearance over 8.734 units; requires 4; review required | internal-spacing [fork-head / knife-handle]: fork-right-curve and knife-handle-2 have 1.673 units of ink clearance over 7.237 units; requires 4; review required
53cd4f82-ae5a-4f7a-8ddd-de64747944f4,food,Crossed Fork and Spoon,crossed-fork-with-spoon,pictographic-primitives/food/symbol spoon cross fork_53cd4f82-ae5a-4f7a-8ddd-de64747944f4.svg,clearance,clearance,model tree,0,,published/failed/solo48/crossed-fork-with-spoon.svg,3,internal-spacing [fork-head / spoon-handle]: fork-left-curve and spoon-handle-1 have 1.673 units of ink clearance over 8.734 units; requires 4; review required | internal-spacing [fork-head / spoon-bowl]: fork-right-curve and spoon-upper have 1.268 units of ink clearance over 4.081 units; requires 4; review required | internal-spacing [fork-head / spoon-handle]: fork-right-curve and spoon-handle-2 have 1.673 units of ink clearance over 7.237 units; requires 4; review required
effbc2d1-e5a5-4a1b-88be-7ca24a41a9c1,health,Finger Heart Rate Monitor,monitor-heart-beat-touch,pictographic-primitives/health/monitor heart beat touch_effbc2d1-e5a5-4a1b-88be-7ca24a41a9c1.svg,parallel,parallel holes,primitive-make-ray,1,20260923T-batch27-4021f5,published/failed/solo48/monitor-heart-beat-touch.svg,4,"mic [hand]: parallel straight edges finger and thumb-6, thumb-5 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal) | mic [sensor]: parallel straight edges sensor-bottom-right and hand-top are 4 apart on centerlines (ink gap 0); requires at least 8 centerline / 4 ink (midpoint-normal) | mic [hand]: parallel straight edges thumb-4 and thumb-1 are 4.242 apart on centerlines (ink gap 0.242); requires at least 8 centerline / 4 ink (midpoint-normal)"
8a7bb75e-fc55-5c1f-9e7a-6055f25d511f,health,Heart Pulse Rate Monitor,heart-rate,pictographic-primitives/health/heart rate_8a7bb75e-fc55-5c1f-9e7a-6055f25d511f.svg,clearance,clearance,primitive-make-ray,1,20260923T-batch19-767fa8,published/failed/solo48/heart-rate.svg,1,internal-spacing [heart / pulse]: point-2 and pulse-4 have 0.663 units of ink clearance over 6.427 units; requires 4; review required
f238b6ea-82d0-5437-a344-0ec38b16a28d,health,Heart Rate Monitoring Hand,monitoring-heart-beat-hand,pictographic-primitives/health/monitoring heart beat hand_f238b6ea-82d0-5437-a344-0ec38b16a28d.svg,parallel,parallel holes,primitive-make-ray,1,20260923T122956Z-gpt6-4ead58c5,published/failed/solo48/monitoring-heart-beat-hand.svg,3,"mic [hand-inner]: parallel straight edges finger-1, finger-2 and wrist-inner-3 are 4.949 apart on centerlines (ink gap 0.949); requires at least 8 centerline / 4 ink (midpoint-normal) | mic [hand-inner]: parallel straight edges wrist-inner-3 and heart-lower-2 are 6.363 apart on centerlines (ink gap 2.363); requires at least 8 centerline / 4 ink (overlap-fallback) | holes/pinches: 2 undersized holes; 0 pinches"
a954f676-1cce-4e19-81eb-ec067ec52edc,health,Heart with Pulse Wave,heart-with-pulse-wave-solo,pictographic-primitives/health/heart rate_a954f676-1cce-4e19-81eb-ec067ec52edc.svg,clearance,clearance,model tree,0,,published/failed/solo48/heart-with-pulse-wave-solo.svg,1,internal-spacing [outline / pulse]: right-side and pulse-4 have 1.644 units of ink clearance over 7.439 units; requires 4; review required
