uuid,reference,concept,pages,primary,all_categories,previous_runs,newest_run,errors,reviewer
34f87da9-e584-47f7-8fe0-ca66e9aa7da9,pictographic-primitives/_uncategorized_02/amazon eventbridge_34f87da9-e584-47f7-8fe0-ca66e9aa7da9.svg,Hexagonal Hub with Connected Nodes,primitives-drawn,bounds,bounds spacing pinches holes,2,primitive-make-ray/invalid,"canvas/keyshape bounds: visible ink (4, 0, 44, 48) does not match the SQUARE envelope (4, 4, 44, 44) (deltas [0.0, 4.0, 0.0, 4.0], tolerance 0.0) || mic [perimeter]: perimeter and event-bus are 7.31049 apart on centerlines nearest (40.6804, 21.0309)<->(34, 24); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || mic [event-bus]: event-bus and upper-right are 4.19447 apart on centerlines nearest (31.6857, 21.2228)<->(34.908, 18.5376); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || mic [event-bus]: event-bus and lower-left are 5.47484 apart on centerlines nearest (17.2979, 27.9575)<->(13.092, 31.4624); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || holes/pinches: 8 undersized holes; 6 pinches",
c4945396-13ec-470f-9338-45638fe16eb2,pictographic-primitives/_uncategorized_02/amazon web service elemental medialive_c4945396-13ec-470f-9338-45638fe16eb2.svg,Live Media Streaming and Distribution,primitives-drawn,bounds,bounds parallel spacing,2,primitive-make-ray/invalid,"canvas/keyshape bounds: visible ink (4, 3, 44, 46) does not match the SQUARE envelope (4, 4, 44, 44) (deltas [0.0, 1.0, 0.0, 2.0], tolerance 0.0) || mic [top]: parallel straight edges top-6 and top-3 are 7.15542 apart on centerlines (ink gap 3.15542); requires at least 8 centerline / 4 ink (midpoint-normal) || mic [lower-left]: parallel straight edges lower-left-6 and lower-left-3 are 7.15542 apart on centerlines (ink gap 3.15542); requires at least 8 centerline / 4 ink (midpoint-normal) || mic [lower-right]: parallel straight edges lower-right-6 and lower-right-3 are 7.15542 apart on centerlines (ink gap 3.15542); requires at least 8 centerline / 4 ink (midpoint-normal) || mic [top]: parallel straight edges top-1 and top-4 are 7.15542 apart on centerlines (ink gap 3.15542); requires at least 8 centerline / 4 ink (midpoint-normal) || mic [top]: parallel straight edges top-4 and play-1 are 5.81378 apart on centerlines (ink gap 1.81378); requires at least 8 centerline / 4 ink (midpoint-normal) || mic [lower-right]: parallel straight edges lower-right-1 and lower-right-4 are 7.15542 apart on centerlines (ink gap 3.15542); requires at least 8 centerline / 4 ink (midpoint-normal) || mic [lower-left]: parallel straight edges lower-left-1 and lower-left-4 are 7.15542 apart on centerlines (ink gap 3.15542); requires at least 8 centerline / 4 ink (midpoint-normal) || mic [play]: play and top are 5.81378 apart on centerlines nearest (21.4, 18.2)<->(24, 13); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || mic [play]: play and lower-left are 7.07107 apart on centerlines nearest (19, 31)<->(14, 36); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || mic [lower-left]: lower-left and scan-bottom are 5 apart on centerlines nearest (14, 40)<->(19, 40); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || mic [lower-right]: lower-right and scan-bottom are 5 apart on centerlines nearest (34, 40)<->(29, 40); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship",
b98df773-88b9-4b59-bf8f-31bdee2160b2,pictographic-primitives/_uncategorized_02/amazon web service marketplaces cart_b98df773-88b9-4b59-bf8f-31bdee2160b2.svg,Shopping Cart with Hexagons,primitives-drawn,bounds,bounds parallel spacing,2,primitive-make-ray/invalid,"canvas/keyshape bounds: visible ink (4, 3, 46, 45) does not match the SQUARE envelope (4, 4, 44, 44) (deltas [0.0, 1.0, 2.0, 1.0], tolerance 0.0) || mic [right]: parallel straight edges right-5 and left-2 are 4 apart on centerlines (ink gap 0); requires at least 8 centerline / 4 ink (midpoint-normal) || mic [top]: parallel straight edges top-3 and right-6 are 2.74398 apart on centerlines (ink gap -1.25602); requires at least 8 centerline / 4 ink (midpoint-normal) || mic [top]: parallel straight edges top-4 and left-1 are 2.74398 apart on centerlines (ink gap -1.25602); requires at least 8 centerline / 4 ink (midpoint-normal) || mic [basket]: basket and left are 2.94174 apart on centerlines nearest (9.11538, 23.5769)<->(12, 23); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || mic [basket]: basket and right are 2.94174 apart on centerlines nearest (38.8846, 23.5769)<->(36, 23); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || mic [basket]: basket and left-wheel are 6 apart on centerlines nearest (15, 31)<->(15, 37); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || mic [basket]: basket and right-wheel are 6 apart on centerlines nearest (33, 31)<->(33, 37); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || mic [top]: top and left are 2.74398 apart on centerlines nearest (19, 13)<->(17.5882, 15.3529); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || mic [top]: top and right are 2.74398 apart on centerlines nearest (29, 13)<->(30.4118, 15.3529); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || mic [left]: left and right are 4 apart on centerlines nearest (22, 18)<->(26, 18); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship",
ed08c4ae-cd2f-485c-a2ad-1642f69c286c,pictographic-primitives/_uncategorized_04/arduino plus minus_ed08c4ae-cd2f-485c-a2ad-1642f69c286c.svg,Arduino Infinity Symbol,primitives-drawn,bounds,bounds spacing,0,,"canvas/keyshape bounds: visible ink (2.25, 8, 45.75, 40) does not match the HRECT_M envelope (2, 8, 46, 40) (deltas [0.25, 0.0, 0.25, 0.0], tolerance 0.0) || mic [infinity]: infinity and minus are 5.74993 apart on centerlines nearest (4.25015, 23.9711)<->(10, 24); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || mic [infinity]: infinity and plus-h are 5.74993 apart on centerlines nearest (43.7499, 23.9711)<->(38, 24); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship",
4a8d494e-32cc-4073-96a3-0c1ca2d67952,pictographic-primitives/_uncategorized_04/astronomy telescope stars_4a8d494e-32cc-4073-96a3-0c1ca2d67952.svg,Astronomy Telescope with Stars,primitives-drawn,bounds,bounds spacing pinches holes,0,,"canvas/keyshape bounds: visible ink (4, 4, 46, 44) does not match the SQUARE envelope (4, 4, 44, 44) (deltas [0.0, 0.0, 2.0, 0.0], tolerance 0.0) || mic [eyepiece]: eyepiece and star-0 are 7.51356 apart on centerlines nearest (13.0515, 20.866)<->(10, 14); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || mic [tripod]: tripod and star-1 are 4.24264 apart on centerlines nearest (33, 41)<->(36, 38); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || holes/pinches: 2 undersized holes; 2 pinches",
994c360d-a3ef-411d-83b6-1227713cc09e,pictographic-primitives/_uncategorized_07/brain circuit_994c360d-a3ef-411d-83b6-1227713cc09e.svg,Artificial Intelligence Brain,primitives-drawn,bounds,bounds spacing,0,,"canvas/keyshape bounds: visible ink (4, 3.91837, 44, 44) does not match the SQUARE envelope (4, 4, 44, 44) (deltas [0.0, 0.0816, 0.0, 0.0], tolerance 0.0) || mic [brain]: brain and terminal-left are 7 apart on centerlines nearest (9, 20)<->(16, 20); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || mic [brain]: brain and terminal-right are 7 apart on centerlines nearest (39, 20)<->(32, 20); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || mic [brain]: brain and trace-left are 6 apart on centerlines nearest (12, 34)<->(18, 34); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || mic [brain]: brain and trace-right are 6 apart on centerlines nearest (36, 34)<->(30, 34); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship",
7c784cb7-5aec-47a9-96ef-4c2afb98e94a,pictographic-primitives/_uncategorized_15/do not throw trash toilet_7c784cb7-5aec-47a9-96ef-4c2afb98e94a.svg,Person Dropping Trash Into Toilet,primitives-drawn,bounds,bounds parallel spacing,1,primitive-make-ray/invalid,"canvas/keyshape bounds: visible ink (6, 4, 33, 44) does not match the SQUARE envelope (4, 4, 44, 44) (deltas [2.0, 0.0, 11.0, 0.0], tolerance 0.0) || mic [arm]: parallel straight edges arm-2 and toilet-3 are 3 apart on centerlines (ink gap -1); requires at least 8 centerline / 4 ink (midpoint-normal) || mic [toilet]: parallel straight edges toilet-3 and toilet-5 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (overlap-fallback) || mic [head]: head and trash are 4.24621 apart on centerlines nearest (23.1199, 10.9719)<->(19, 12); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || mic [toilet]: toilet and trash are 3.60555 apart on centerlines nearest (16, 20)<->(19, 18); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || mic [toilet]: toilet and droplet are 4 apart on centerlines nearest (16, 23)<->(20, 23); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || mic [trash]: trash and droplet are 5.09902 apart on centerlines nearest (19, 18)<->(20, 23); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship",
c4776ceb-e74e-4923-a8f4-ac3c1635d4e5,pictographic-primitives/_uncategorized_15/donation care hands heart 1_c4776ceb-e74e-4923-a8f4-ac3c1635d4e5.svg,Hands holding a heart,primitives-drawn,bounds,bounds spacing holes,1,primitive-make-ray/invalid,"canvas/keyshape bounds: visible ink (3.73389, 4, 44.2661, 43) does not match the SQUARE envelope (4, 4, 44, 44) (deltas [0.2661, 0.0, 0.2661, 1.0], tolerance 0.0) || mic [heart]: heart and right-arch are 2.8415 apart on centerlines nearest (29.0842, 9.54426)<->(29.9823, 6.84843); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || holes/pinches: 1 undersized holes; 0 pinches",
4317946e-a563-47b7-9c3d-e830b878ecc6,pictographic-primitives/_uncategorized_16/ear listen_4317946e-a563-47b7-9c3d-e830b878ecc6.svg,Ear with Sound Waves,primitives-drawn,bounds,bounds spacing,1,primitive-make-ray/invalid,"canvas/keyshape bounds: visible ink (5.99951, 3.87445, 56, 44) leaves the 48x48 canvas || canvas/keyshape bounds: visible ink (5.99951, 3.87445, 56, 44) does not match the VRECT_L envelope (6, 2, 42, 46) (deltas [0.0005, 1.8744, 14.0, 2.0], tolerance 0.0) || mic [ear-back]: ear-back and wave-one are 1.61321 apart on centerlines nearest (35.4327, 17.382)<->(37, 17); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || mic [ear-back]: ear-back and wave-two are 7.93519 apart on centerlines nearest (34.6558, 15.0051)<->(42, 12); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || mic [wave-one]: wave-one and wave-two are 6.00003 apart on centerlines nearest (39.6788, 30.4672)<->(42, 36); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship",
4376565b-9b1c-4d38-bc0d-e4819924e5d3,pictographic-primitives/_uncategorized_16/emoji care hug heart face_4376565b-9b1c-4d38-bc0d-e4819924e5d3.svg,Smiling Face Hugging Heart,primitives-drawn,bounds,bounds spacing pinches,0,,"canvas/keyshape bounds: visible ink (3.82868, 4, 44.1713, 44) does not match the SQUARE envelope (4, 4, 44, 44) (deltas [0.1713, 0.0, 0.1713, 0.0], tolerance 0.0) || mic [face]: face and heart are 6.46847 apart on centerlines nearest (42, 24)<->(35.5368, 24.2602); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || mic [face]: face and eye-19 are 6.71761 apart on centerlines nearest (15.2353, 8.27845)<->(18.5104, 14.1436); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || mic [face]: face and eye-29 are 6.71761 apart on centerlines nearest (32.7647, 8.27845)<->(29.4896, 14.1436); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || mic [heart]: heart and eye-19 are 1.6074 apart on centerlines nearest (17.309, 18.5774)<->(17, 17); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || mic [heart]: heart and eye-29 are 1.6074 apart on centerlines nearest (30.691, 18.5774)<->(31, 17); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || mic [eye-19]: eye-19 and eye-29 are 6 apart on centerlines nearest (21, 17)<->(27, 17); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || holes/pinches: 0 undersized holes; 2 pinches",
