icon_id,current_status,existing_internal_review,maximum_narrow_run,minimum_sampled_ink_gap,file
a3,pass,True,9.216,0.5791,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/a3_cc92659e_8528_43c1_b8cd_489fe1f8785e.py
a5,pass,True,9.2417,0.6485,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/a5_970a6cde_a55d_4c40_bc6d_1f90c47200b1.py
action,fail,True,3.7452,2.2163,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/action_8a35b965_2417_59c8_8ee0_cc43b5a86974.py
ad-text,pass,True,10.219,0.5235,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/ad_text_46927056_6b93_47f9_8be7_c7d7312f7f7a.py
adobe-cloud-logo,pass,True,12.6854,3.6859,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/adobe_cloud_logo_1a854686_429a_4caa_b2bb_aa9186cfd668.py
ae,pass,True,8.7362,0.5687,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/ae_68ff4e78_e6b9_4409_8627_b9404af60121.py
airbnb-logo,pass,True,14.7495,2.2304,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/airbnb_logo_768363e4_ebe3_4f7b_acb9_1268ec362ebd.py
aircraft-releasing-bomb,fail,True,2.2494,2.7324,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/aircraft_releasing_bomb_2b5448ac_d13c_4da3_bd51_fe5763b6acc1.py
airplane,pass,True,2.5,2.0923,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/airplane_47a78895_0132_42e2_8459_c80e2e317111.py
airplane-diagonal,pass,True,8.995,1.6476,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/airplane_diagonal_2ec97e18_7c91_4c51_a73f_9939c19661c8.py
airplane-other,pass,True,2.5,2.0923,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/airplane_4a625cc1_8989_433b_89db_ddf1b6a98ffe.py
airplane-taking-off,pass,False,2.2457,3.1517,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/airplane_taking_off_39a4161c_ed3c_5509_8f55_7f29d7d27ec9.py
airship-over-cloud,fail,False,3.4929,1.2143,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/airship_over_cloud_9cc2c05a_f5ae_4e0a_b1bc_501ccac6cbbd.py
alien-head-slanted-eyes,pass,False,19.6479,1.8022,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/alien_head_slanted_eyes_3111e4ee_f8d7_5adc_8f71_0cc4e4063457.py
alien-head-twin-hanging-lobes,pass,True,4.4971,-3.6012,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/alien_head_twin_hanging_lobes_1cbfd2f8_04d6_4b91_b205_3ee8299e6715.py
am-letters-underlined,fail,True,7.4973,1.0011,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/am_letters_underlined_e38cbfee_45cd_445c_978d_e64790667fa5.py
amazon-connect,fail,False,2.9857,1.1604,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/amazon_connect_00b02f02_c0d5_4245_8a8e_8f209b070186.py
analogue-wristwatch,fail,True,5.0,2.0,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/analogue_wristwatch_6f3e245f_ff22_445c_9c0b_9969d193eb11.py
anklet,pass,False,7.4965,1.8576,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/anklet_83499877_9f6d_4f70_975d_59ade9b78b2f.py
anteater,fail,True,14.7459,-3.9896,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/anteater_b8e192b8_9278_5d94_943f_c50ada364cfe.py
anteater-v2,fail,True,6.7427,-2.2586,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/anteater_v2_b8e192b8_9278_5d94_943f_c50ada364cfe.py
anteater-v3,fail,True,4.7463,3.2893,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/anteater_v3_b8e192b8_9278_5d94_943f_c50ada364cfe.py
anteater-v5,pass,True,5.997,0.1474,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/anteater_v5_b8e192b8_9278_5d94_943f_c50ada364cfe.py
apostrophe,pass,True,15.498,0.8219,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/apostrophe_62e2b2e8_283f_4653_a82c_ce0d21a9c989.py
ar-letters-underlined,fail,True,7.4973,1.0011,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/ar_letters_underlined_a642d559_a61c_4224_b0ae_b1681b0be69e.py
archery-bow,pass,False,3.4641,-2.1502,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/archery_bow_558a752c_f77f_5ac9_bc87_894ac48105b5.py
archway,pass,True,47.4628,3.5653,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/archway_726d709a_1fc5_42e8_b357_8d83c0bb1293.py
aries-zodiac-symbol,fail,False,17.7205,-3.7953,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/aries_zodiac_symbol_28ab2a14_d6a4_56d6_82df_af778631fe00.py
arrange-letter,pass,True,4.2183,1.83,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/arrange_letter_145ae3bf_4da3_4a94_8af1_68dc4ab92127.py
arrow-badge-bottom,review,False,2.9949,-3.7384,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/arrow_badge_bottom_50465b37_9ca7_502c_8cce_8e0ebf3b8b13.py
arrow-badge-right,review,False,2.9967,-3.7381,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/arrow_badge_right_a88250ff_cc09_5c7e_b1a9_2e68c97a32d6.py
arrow-button-top-2,pass,True,5.4943,-3.6664,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/arrow_button_top_2_50835f18_84ed_54a7_86e8_d6dcc236944b.py
