coffee  13 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/coffee.svg)
     0.0  line/vertical        from <path>  d=M10 2L10 4
     1.0  line/vertical        from <path>  d=M14 2L14 4
     2.0  arc/quarter-circle   from <path>  d=M16 8A1 1 0 0 1 17 9
     2.1  line/vertical        from <path>  d=M17 9L17 17
     2.2  arc/quarter-circle   from <path>  d=M17 17A4 4 0 0 1 13 21
     2.3  line/horizontal      from <path>  d=M13 21L7 21
     2.4  arc/quarter-circle   from <path>  d=M7 21A4 4 0 0 1 3 17
     2.5  line/vertical        from <path>  d=M3 17L3 9
     2.6  arc/quarter-circle   from <path>  d=M3 9A1 1 0 0 1 4 8
     2.7  line/horizontal      from <path>  d=M4 8L18 8
     2.8  arc/circular         from <path>  d=M18 8A4 4 0 1 1 18 16
     2.9  line/horizontal      from <path>  d=M18 16L17 16
     3.0  line/vertical        from <path>  d=M6 2L6 4
