wrench  12 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/wrench.svg)
     0.0  arc/circular         from <path>  d=M14.7 6.3A1 1 0 0 0 14.7 7.7
     0.1  line/diagonal        from <path>  d=M14.7 7.7L16.3 9.3
     0.2  arc/circular         from <path>  d=M16.3 9.3A1 1 0 0 0 17.7 9.3
     0.3  line/diagonal        from <path>  d=M17.7 9.3L20.806 6.195
     0.4  cubic                from <path>  d=M20.806 6.195C21.126 5.873 21.669 5.975 21.789 6.413
     0.5  arc/circular         from <path>  d=M21.789 6.413A6 6 0 0 1 13.53 13.47
     0.6  line/diagonal        from <path>  d=M13.53 13.47L5.62 21.38
     0.7  arc/circular         from <path>  d=M5.62 21.38A2.12097 2.12097 0 0 1 2.621 18.38
     0.8  line/diagonal        from <path>  d=M2.621 18.38L10.531 10.47
     0.9  arc/circular         from <path>  d=M10.531 10.47A6 6 0 0 1 17.588 2.211
    0.10  cubic                from <path>  d=M17.588 2.211C18.026 2.331 18.128 2.873 17.807 3.195
    0.11  line/diagonal        from <path>  d=M17.807 3.195L14.7 6.3
