glasses  14 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/glasses.svg)
     0.0  arc/quarter-circle   from <circle>  d=M10 15A4 4 0 0 1 6 19
     0.1  arc/quarter-circle   from <circle>  d=M6 19A4 4 0 0 1 2 15
     0.2  arc/quarter-circle   from <circle>  d=M2 15A4 4 0 0 1 6 11
     0.3  arc/quarter-circle   from <circle>  d=M6 11A4 4 0 0 1 10 15
     1.0  arc/quarter-circle   from <circle>  d=M22 15A4 4 0 0 1 18 19
     1.1  arc/quarter-circle   from <circle>  d=M18 19A4 4 0 0 1 14 15
     1.2  arc/quarter-circle   from <circle>  d=M14 15A4 4 0 0 1 18 11
     1.3  arc/quarter-circle   from <circle>  d=M18 11A4 4 0 0 1 22 15
     2.0  arc/quarter-circle   from <path>  d=M14 15A2 2 0 0 0 12 13
     2.1  arc/quarter-circle   from <path>  d=M12 13A2 2 0 0 0 10 15
     3.0  line/diagonal        from <path>  d=M2.5 13L5 7
     3.1  cubic                from <path>  d=M5 7C5.7 5.7 6.4 5 8 5
     4.0  line/diagonal        from <path>  d=M21.5 13L19 7
     4.1  cubic                from <path>  d=M19 7C18.3 5.7 17.5 5 16 5
