scale  14 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/scale.svg)
     0.0  line/vertical        from <path>  d=M12 3L12 21
     1.0  line/diagonal        from <path>  d=M19 8L22 16
     1.1  arc/circular         from <path>  d=M22 16A5 5 0 0 1 16 16
     1.2  line/diagonal        from <path>  d=M16 16L19 8
     1.3  line/vertical        from <path>  d=M19 8L19 7
     2.0  line/horizontal      from <path>  d=M3 7L4 7
     2.1  arc/circular         from <path>  d=M4 7A17 17 0 0 0 12 5
     2.2  arc/circular         from <path>  d=M12 5A17 17 0 0 0 20 7
     2.3  line/horizontal      from <path>  d=M20 7L21 7
     3.0  line/diagonal        from <path>  d=M5 8L8 16
     3.1  arc/circular         from <path>  d=M8 16A5 5 0 0 1 2 16
     3.2  line/diagonal        from <path>  d=M2 16L5 8
     3.3  line/vertical        from <path>  d=M5 8L5 7
     4.0  line/horizontal      from <path>  d=M7 21L17 21
