calendar  11 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/calendar.svg)
     0.0  line/vertical        from <path>  d=M8 2L8 5
     1.0  line/vertical        from <path>  d=M16 2L16 5
     2.0  line/horizontal      from <rect>  d=M5 3L19 3
     2.1  arc/quarter-circle   from <rect>  d=M19 3A2 2 0 0 1 21 5
     2.2  line/vertical        from <rect>  d=M21 5L21 19
     2.3  arc/quarter-circle   from <rect>  d=M21 19A2 2 0 0 1 19 21
     2.4  line/horizontal      from <rect>  d=M19 21L5 21
     2.5  arc/quarter-circle   from <rect>  d=M5 21A2 2 0 0 1 3 19
     2.6  line/vertical        from <rect>  d=M3 19L3 5
     2.7  arc/quarter-circle   from <rect>  d=M3 5A2 2 0 0 1 5 3
     3.0  line/horizontal      from <path>  d=M3 9L21 9
