car-front  19 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/car-front.svg)
     0.0  line/diagonal        from <path>  d=M21 8L19 10
     0.1  line/diagonal        from <path>  d=M19 10L17.5 6.3
     0.2  arc/circular         from <path>  d=M17.5 6.3A2 2 0 0 0 15.646 5
     0.3  line/horizontal      from <path>  d=M15.646 5L8.4 5
     0.4  arc/circular         from <path>  d=M8.4 5A2 2 0 0 0 6.497 6.257
     0.5  line/diagonal        from <path>  d=M6.497 6.257L5 10
     0.6  line/diagonal        from <path>  d=M5 10L3 8
     1.0  line/horizontal      from <path>  d=M7 14L7.01 14
     2.0  line/horizontal      from <path>  d=M17 14L17.01 14
     3.0  line/horizontal      from <rect>  d=M5 10L19 10
     3.1  arc/quarter-circle   from <rect>  d=M19 10A2 2 0 0 1 21 12
     3.2  line/vertical        from <rect>  d=M21 12L21 16
     3.3  arc/quarter-circle   from <rect>  d=M21 16A2 2 0 0 1 19 18
     3.4  line/horizontal      from <rect>  d=M19 18L5 18
     3.5  arc/quarter-circle   from <rect>  d=M5 18A2 2 0 0 1 3 16
     3.6  line/vertical        from <rect>  d=M3 16L3 12
     3.7  arc/quarter-circle   from <rect>  d=M3 12A2 2 0 0 1 5 10
     4.0  line/vertical        from <path>  d=M5 18L5 20
     5.0  line/vertical        from <path>  d=M19 18L19 20
