hand  19 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/hand.svg)
     0.0  line/vertical        from <path>  d=M18 11L18 6
     0.1  arc/quarter-circle   from <path>  d=M18 6A2 2 0 0 0 16 4
     0.2  arc/quarter-circle   from <path>  d=M16 4A2 2 0 0 0 14 6
     1.0  line/vertical        from <path>  d=M14 10L14 4
     1.1  arc/quarter-circle   from <path>  d=M14 4A2 2 0 0 0 12 2
     1.2  arc/quarter-circle   from <path>  d=M12 2A2 2 0 0 0 10 4
     1.3  line/vertical        from <path>  d=M10 4L10 6
     2.0  line/vertical        from <path>  d=M10 10.5L10 6
     2.1  arc/quarter-circle   from <path>  d=M10 6A2 2 0 0 0 8 4
     2.2  arc/quarter-circle   from <path>  d=M8 4A2 2 0 0 0 6 6
     2.3  line/vertical        from <path>  d=M6 6L6 14
     3.0  arc/circular         from <path>  d=M18 8A2 2 0 1 1 22 8
     3.1  line/vertical        from <path>  d=M22 8L22 14
     3.2  arc/quarter-circle   from <path>  d=M22 14A8 8 0 0 1 14 22
     3.3  line/horizontal      from <path>  d=M14 22L12 22
     3.4  cubic                from <path>  d=M12 22C9.2 22 7.5 21.14 6.01 19.66
     3.5  line/diagonal        from <path>  d=M6.01 19.66L2.41 16.06
     3.6  arc/circular         from <path>  d=M2.41 16.06A2 2 0 0 1 5.24 13.24
     3.7  line/diagonal        from <path>  d=M5.24 13.24L7 15
