hand-coins  21 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/hand-coins.svg)
     0.0  line/horizontal      from <path>  d=M11 15L13 15
     0.1  arc/circular         from <path>  d=M13 15A2 2 0 1 0 13 11
     0.2  line/horizontal      from <path>  d=M13 11L10 11
     0.3  cubic                from <path>  d=M10 11C9.4 11 8.9 11.2 8.6 11.6
     0.4  line/diagonal        from <path>  d=M8.6 11.6L3 17
     1.0  line/diagonal        from <path>  d=M7 21L8.6 19.6
     1.1  cubic                from <path>  d=M8.6 19.6C8.9 19.2 9.4 19 10 19
     1.2  line/horizontal      from <path>  d=M10 19L14 19
     1.3  cubic                from <path>  d=M14 19C15.1 19 16.1 18.6 16.8 17.8
     1.4  line/diagonal        from <path>  d=M16.8 17.8L21.4 13.4
     1.5  arc/circular         from <path>  d=M21.4 13.4A2.00191 2.00191 0 0 0 18.65 10.49
     1.6  line/diagonal        from <path>  d=M18.65 10.49L14.45 14.39
     2.0  line/diagonal        from <path>  d=M2 16L8 22
     3.0  arc/quarter-circle   from <circle>  d=M18.9 9A2.9 2.9 0 0 1 16 11.9
     3.1  arc/quarter-circle   from <circle>  d=M16 11.9A2.9 2.9 0 0 1 13.1 9
     3.2  arc/quarter-circle   from <circle>  d=M13.1 9A2.9 2.9 0 0 1 16 6.1
     3.3  arc/quarter-circle   from <circle>  d=M16 6.1A2.9 2.9 0 0 1 18.9 9
     4.0  arc/quarter-circle   from <circle>  d=M9 5A3 3 0 0 1 6 8
     4.1  arc/quarter-circle   from <circle>  d=M6 8A3 3 0 0 1 3 5
     4.2  arc/quarter-circle   from <circle>  d=M3 5A3 3 0 0 1 6 2
     4.3  arc/quarter-circle   from <circle>  d=M6 2A3 3 0 0 1 9 5
