notebook-pen  19 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/notebook-pen.svg)
     0.0  line/horizontal      from <path>  d=M13.4 2L6 2
     0.1  arc/quarter-circle   from <path>  d=M6 2A2 2 0 0 0 4 4
     0.2  line/vertical        from <path>  d=M4 4L4 20
     0.3  arc/quarter-circle   from <path>  d=M4 20A2 2 0 0 0 6 22
     0.4  line/horizontal      from <path>  d=M6 22L18 22
     0.5  arc/quarter-circle   from <path>  d=M18 22A2 2 0 0 0 20 20
     0.6  line/vertical        from <path>  d=M20 20L20 12.6
     1.0  line/horizontal      from <path>  d=M2 6L6 6
     2.0  line/horizontal      from <path>  d=M2 10L6 10
     3.0  line/horizontal      from <path>  d=M2 14L6 14
     4.0  line/horizontal      from <path>  d=M2 18L6 18
     5.0  arc/circular         from <path>  d=M21.378 5.626A2.12415 2.12415 0 1 0 18.374 2.622
     5.1  line/diagonal        from <path>  d=M18.374 2.622L13.364 7.634
     5.2  arc/circular         from <path>  d=M13.364 7.634A2 2 0 0 0 12.858 8.488
     5.3  line/diagonal        from <path>  d=M12.858 8.488L12.021 11.358
     5.4  arc/circular         from <path>  d=M12.021 11.358A0.5 0.5 0 0 0 12.641 11.978
     5.5  line/diagonal        from <path>  d=M12.641 11.978L15.511 11.141
     5.6  arc/circular         from <path>  d=M15.511 11.141A2 2 0 0 0 16.365 10.635
     5.7  line/diagonal        from <path>  d=M16.365 10.635L21.378 5.626
