sandwich  22 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/sandwich.svg)
     0.0  line/diagonal        from <path>  d=M2.37 11.223L10.742 4.446
     0.1  arc/circular         from <path>  d=M10.742 4.446A2 2 0 0 1 13.258 4.446
     0.2  line/diagonal        from <path>  d=M13.258 4.446L21.629 11.223
     1.0  arc/quarter-circle   from <path>  d=M21 15A1 1 0 0 1 22 16
     1.1  line/vertical        from <path>  d=M22 16L22 18
     1.2  arc/quarter-circle   from <path>  d=M22 18A1 1 0 0 1 21 19
     1.3  line/horizontal      from <path>  d=M21 19L15.75 19
     2.0  arc/quarter-circle   from <path>  d=M3 15A1 1 0 0 0 2 16
     2.1  line/vertical        from <path>  d=M2 16L2 18
     2.2  arc/quarter-circle   from <path>  d=M2 18A1 1 0 0 0 3 19
     2.3  line/horizontal      from <path>  d=M3 19L12 19
     3.0  line/diagonal        from <path>  d=M6.67 15L12.8 19.6
     3.1  arc/quarter-circle   from <path>  d=M12.8 19.6A2 2 0 0 0 15.6 19.2
     3.2  line/diagonal        from <path>  d=M15.6 19.2L18.75 15
     4.0  line/horizontal      from <rect>  d=M3 11L21 11
     4.1  arc/quarter-circle   from <rect>  d=M21 11A1 1 0 0 1 22 12
     4.2  line/vertical        from <rect>  d=M22 12L22 14
     4.3  arc/quarter-circle   from <rect>  d=M22 14A1 1 0 0 1 21 15
     4.4  line/horizontal      from <rect>  d=M21 15L3 15
     4.5  arc/quarter-circle   from <rect>  d=M3 15A1 1 0 0 1 2 14
     4.6  line/vertical        from <rect>  d=M2 14L2 12
     4.7  arc/quarter-circle   from <rect>  d=M2 12A1 1 0 0 1 3 11
