zap  12 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/zap.svg)
     0.0  arc/circular         from <path>  d=M15.914 4A1.5 1.5 0 0 0 13.44 2.439
     0.1  line/diagonal        from <path>  d=M13.44 2.439L4.44 11.439
     0.2  arc/circular         from <path>  d=M4.44 11.439A1.5 1.5 0 0 0 5.5 14
     0.3  line/horizontal      from <path>  d=M5.5 14L9.502 14
     0.4  arc/circular         from <path>  d=M9.502 14A0.5 0.5 0 0 1 9.973 14.666
     0.5  line/diagonal        from <path>  d=M9.973 14.666L8.086 20
     0.6  arc/circular         from <path>  d=M8.086 20A1.5 1.5 0 0 0 10.561 21.56
     0.7  line/diagonal        from <path>  d=M10.561 21.56L19.561 12.56
     0.8  arc/circular         from <path>  d=M19.561 12.56A1.5 1.5 0 0 0 18.5 10
     0.9  line/horizontal      from <path>  d=M18.5 10L14.503 10
    0.10  arc/circular         from <path>  d=M14.503 10A0.5 0.5 0 0 1 14.031 9.333
    0.11  line/diagonal        from <path>  d=M14.031 9.333L15.914 4
