dog  18 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/dog.svg)
     0.0  line/horizontal      from <path>  d=M11.25 16.25L12.75 16.25
     0.1  line/diagonal        from <path>  d=M12.75 16.25L12 17
     0.2  line/diagonal        from <path>  d=M12 17L11.25 16.25
     1.0  line/vertical        from <path>  d=M16 14L16 14.5
     2.0  arc/circular         from <path>  d=M4.42 11.247A13.152 13.152 0 0 0 4 14.556
     2.1  cubic                from <path>  d=M4 14.556C4 18.728 7.582 21 12 21
     2.2  cubic                from <path>  d=M12 21C16.418 21 20 18.728 20 14.556
     2.3  arc/circular         from <path>  d=M20 14.556A11.702 11.702 0 0 0 19.507 11.247
     3.0  line/vertical        from <path>  d=M8 14L8 14.5
     4.0  cubic                from <path>  d=M8.5 8.5C8.116 9.55 7.417 10.528 6.156 11
     4.1  cubic                from <path>  d=M6.156 11C4.225 11.722 2.58 10.703 2.5 10
     4.2  cubic                from <path>  d=M2.5 10C2.387 9.006 3.677 3.47 6.5 3
     4.3  cubic                from <path>  d=M6.5 3C8.423 2.679 10.151 3.845 10.151 5.235
     4.4  arc/circular         from <path>  d=M10.151 5.235A7.497 7.497 0 0 1 14 5.277
     4.5  cubic                from <path>  d=M14 5.277C14 3.887 15.844 2.679 17.767 3
     4.6  cubic                from <path>  d=M17.767 3C20.59 3.47 21.88 9.006 21.767 10
     4.7  cubic                from <path>  d=M21.767 10C21.687 10.703 20.042 11.722 18.111 11
     4.8  cubic                from <path>  d=M18.111 11C16.85 10.528 16.256 9.55 15.872 8.5
