graduation-cap  12 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/graduation-cap.svg)
     0.0  arc/circular         from <path>  d=M21.42 10.922A1 1 0 0 0 21.401 9.084
     0.1  line/diagonal        from <path>  d=M21.401 9.084L12.83 5.18
     0.2  arc/circular         from <path>  d=M12.83 5.18A2 2 0 0 0 11.17 5.18
     0.3  line/diagonal        from <path>  d=M11.17 5.18L2.6 9.08
     0.4  arc/circular         from <path>  d=M2.6 9.08A1 1 0 0 0 2.6 10.912
     0.5  line/diagonal        from <path>  d=M2.6 10.912L11.17 14.82
     0.6  arc/circular         from <path>  d=M11.17 14.82A2 2 0 0 0 12.83 14.82
     0.7  line/diagonal        from <path>  d=M12.83 14.82L21.42 10.922
     1.0  line/vertical        from <path>  d=M22 10L22 16
     2.0  line/vertical        from <path>  d=M6 12.5L6 16
     2.1  arc/elliptical       from <path>  d=M6 16A6 3 0 0 0 18 16
     2.2  line/vertical        from <path>  d=M18 16L18 12.5
