hand-fist  26 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/hand-fist.svg)
     0.0  arc/quarter-circle   from <path>  d=M12.035 17.012A3 3 0 0 0 9.035 14.012
     0.1  line/diagonal        from <path>  d=M9.035 14.012L8.724 14.01
     0.2  arc/circular         from <path>  d=M8.724 14.01A0.72 0.72 0 0 1 8.219 12.781
     0.3  line/diagonal        from <path>  d=M8.219 12.781L9.414 11.586
     0.4  arc/circular         from <path>  d=M9.414 11.586A2 2 0 0 1 10.828 11
     0.5  line/horizontal      from <path>  d=M10.828 11L12 11
     0.6  arc/circular         from <path>  d=M12 11A2 2 0 0 0 12 7
     0.7  line/horizontal      from <path>  d=M12 7L9.243 7
     0.8  arc/circular         from <path>  d=M9.243 7A3 3 0 0 0 7.121 7.879
     0.9  line/diagonal        from <path>  d=M7.121 7.879L4.414 10.586
    0.10  arc/circular         from <path>  d=M4.414 10.586A4.83 4.83 0 0 0 3 14
    0.11  arc/quarter-circle   from <path>  d=M3 14A8 8 0 0 0 11 22
    0.12  line/horizontal      from <path>  d=M11 22L13 22
    0.13  arc/quarter-circle   from <path>  d=M13 22A8 8 0 0 0 21 14
    0.14  line/vertical        from <path>  d=M21 14L21 7
    0.15  arc/circular         from <path>  d=M21 7A2 2 0 1 0 17 7
    0.16  line/vertical        from <path>  d=M17 7L17 9
    0.17  arc/circular         from <path>  d=M17 9A2 2 0 1 0 21 9
     1.0  arc/circular         from <path>  d=M13.888 9.662A2 2 0 0 0 17 8
     1.1  line/vertical        from <path>  d=M17 8L17 5
     1.2  arc/circular         from <path>  d=M17 5A2 2 0 1 0 13 5
     2.0  arc/circular         from <path>  d=M9 5A2 2 0 1 0 5 5
     2.1  line/vertical        from <path>  d=M5 5L5 10
     3.0  line/vertical        from <path>  d=M9 7L9 4
     3.1  arc/circular         from <path>  d=M9 4A2 2 0 1 1 13 4
     3.2  line/vertical        from <path>  d=M13 4L13 7.268
