handshake  19 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/handshake.svg)
     0.0  line/diagonal        from <path>  d=M11 17L13 19
     0.1  arc/circular         from <path>  d=M13 19A2.12132 2.12132 0 1 0 16 16
     1.0  line/diagonal        from <path>  d=M14 14L16.5 16.5
     1.1  arc/circular         from <path>  d=M16.5 16.5A2.12132 2.12132 0 1 0 19.5 13.5
     1.2  line/diagonal        from <path>  d=M19.5 13.5L15.62 9.62
     1.3  arc/circular         from <path>  d=M15.62 9.62A3 3 0 0 0 11.38 9.62
     1.4  line/diagonal        from <path>  d=M11.38 9.62L10.5 10.5
     1.5  arc/circular         from <path>  d=M10.5 10.5A2.12132 2.12132 0 1 1 7.5 7.5
     1.6  line/diagonal        from <path>  d=M7.5 7.5L10.31 4.69
     1.7  arc/circular         from <path>  d=M10.31 4.69A5.79 5.79 0 0 1 17.37 3.82
     1.8  line/diagonal        from <path>  d=M17.37 3.82L17.84 4.1
     1.9  arc/circular         from <path>  d=M17.84 4.1A2 2 0 0 0 19.26 4.35
    1.10  line/diagonal        from <path>  d=M19.26 4.35L21 4
     2.0  line/diagonal        from <path>  d=M21 3L22 14
     2.1  line/horizontal      from <path>  d=M22 14L20 14
     3.0  line/diagonal        from <path>  d=M3 3L2 14
     3.1  line/diagonal        from <path>  d=M2 14L8.5 20.5
     3.2  arc/circular         from <path>  d=M8.5 20.5A2.12132 2.12132 0 1 0 11.5 17.5
     4.0  line/horizontal      from <path>  d=M3 4L11 4
