rabbit  19 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/rabbit.svg)
     0.0  arc/circular         from <path>  d=M13 16A3 3 0 0 1 15.24 21
     1.0  line/horizontal      from <path>  d=M18 12L18.01 12
     2.0  line/horizontal      from <path>  d=M18 21L10 21
     2.1  arc/quarter-circle   from <path>  d=M10 21A4 4 0 0 1 6 17
     2.2  arc/quarter-circle   from <path>  d=M6 17A7 7 0 0 1 13 10
     2.3  line/horizontal      from <path>  d=M13 10L13.2 10
     2.4  line/diagonal        from <path>  d=M13.2 10L9.6 6.4
     2.5  arc/circular         from <path>  d=M9.6 6.4A1.9799 1.9799 0 1 1 12.4 3.6
     2.6  line/diagonal        from <path>  d=M12.4 3.6L15.8 7
     2.7  line/horizontal      from <path>  d=M15.8 7L16 7
     2.8  cubic                from <path>  d=M16 7C19.3 7 22 9.7 22 13
     2.9  line/vertical        from <path>  d=M22 13L22 14
    2.10  arc/quarter-circle   from <path>  d=M22 14A2 2 0 0 1 20 16
    2.11  line/horizontal      from <path>  d=M20 16L19 16
    2.12  arc/quarter-circle   from <path>  d=M19 16A3 3 0 0 0 16 19
     3.0  line/vertical        from <path>  d=M20 8.54L20 4
     3.1  arc/circular         from <path>  d=M20 4A2 2 0 1 0 16 4
     3.2  line/vertical        from <path>  d=M16 4L16 7
     4.0  arc/circular         from <path>  d=M7.612 12.524A3 3 0 1 0 6.012 16.824
