source_uuid,concept,icon_id,status,module,findings
cd921e04-704d-5a6b-a478-676cad6d9f2e,Vector Pen Tool and Bezier Curve,design-pen-tool,ready,icon_set/work/primitive-make-ray/cd921e04-704d-5a6b-a478-676cad6d9f2e/20260924T185424-repair-batch12/design_pen_tool_cd921e04_704d_5a6b_a478_676cad6d9f2e.py,
0cd83d52-cde5-4493-95b0-2a1a4f137c27,Noisy Passenger Car,noise-pollution-car,ready,icon_set/work/primitive-make-ray/0cd83d52-cde5-4493-95b0-2a1a4f137c27/20260924T185424-repair-batch12/noise_pollution_car_0cd83d52_cde5_4493_95b0_2a1a4f137c27.py,
3a11e17f-1153-59b2-b135-910a41a584c7,Rock Hand with Lightning,concert-rock,ready,icon_set/work/primitive-make-ray/3a11e17f-1153-59b2-b135-910a41a584c7/20260924T185424-repair-batch12/concert_rock_3a11e17f_1153_59b2_b135_910a41a584c7.py,
24bf1d97-6037-5919-9f14-530a400a7d7a,Zero X Cryptocurrency Logo,virtual-coin-crypto-0x-zrx,ready,icon_set/work/primitive-make-ray/24bf1d97-6037-5919-9f14-530a400a7d7a/20260924T185424-repair-batch12/virtual_coin_crypto_0x_zrx_24bf1d97_6037_5919_9f14_530a400a7d7a.py,
aba5bfb7-5990-4b45-9606-e4cfe58ad1ea,Crossed Fork and Knife,crossed-fork-and-chef-knife,ready,icon_set/work/primitive-make-ray/aba5bfb7-5990-4b45-9606-e4cfe58ad1ea/20260924T185424-repair-batch12/crossed_fork_and_chef_knife_aba5bfb7_5990_4b45_9606_e4cfe58ad1ea.py,
53cd4f82-ae5a-4f7a-8ddd-de64747944f4,Crossed Fork and Spoon,crossed-fork-with-spoon,ready,icon_set/work/primitive-make-ray/53cd4f82-ae5a-4f7a-8ddd-de64747944f4/20260924T185424-repair-batch12/crossed_fork_with_spoon_53cd4f82_ae5a_4f7a_8ddd_de64747944f4.py,
effbc2d1-e5a5-4a1b-88be-7ca24a41a9c1,Finger Heart Rate Monitor,monitor-heart-beat-touch,ready,icon_set/work/primitive-make-ray/effbc2d1-e5a5-4a1b-88be-7ca24a41a9c1/20260924T185424-repair-batch12/monitor_heart_beat_touch_effbc2d1_e5a5_4a1b_88be_7ca24a41a9c1.py,
8a7bb75e-fc55-5c1f-9e7a-6055f25d511f,Heart Pulse Rate Monitor,heart-rate,ready,icon_set/work/primitive-make-ray/8a7bb75e-fc55-5c1f-9e7a-6055f25d511f/20260924T185424-repair-batch12/heart_rate_8a7bb75e_fc55_5c1f_9e7a_6055f25d511f.py,
a954f676-1cce-4e19-81eb-ec067ec52edc,Heart with Pulse Wave,heart-with-pulse-wave-solo,ready,icon_set/work/primitive-make-ray/a954f676-1cce-4e19-81eb-ec067ec52edc/20260924T185424-repair-batch12/heart_with_pulse_wave_solo_a954f676_1cce_4e19_81eb_ec067ec52edc.py,
12af7a01-21fd-509d-9eae-c7bfcfdaedd2,Oxygen Tank and Clock,oxygen-tank-timer,ready,icon_set/work/primitive-make-ray/12af7a01-21fd-509d-9eae-c7bfcfdaedd2/20260924T185524-repair-b13/oxygen_tank_timer_12af7a01_21fd_509d_9eae_c7bfcfdaedd2.py,
