bowling-pins-row pass 1024.0 [] [] None
bowling-pins-three pass 1024.0 [] [] None
canoe-paddler pass 8.0 [] [] {'kind': 'line', 'source': 0, 'target': 6, 'distance': 8.0, 'origin': (19.0, 24.0), 'point': (19.0, 32.0)}
clapping-hands pass 8.0 [] [] {'kind': 'line', 'source': 0, 'target': 1, 'distance': 8.0, 'origin': (15.0, 28.0), 'point': (23.0, 28.0)}
dailybooth-logo pass 8.0 [] [] {'kind': 'line', 'source': 0, 'target': 5, 'distance': 8.0, 'origin': (15.0, 6.0), 'point': (15.0, 14.0)}
diagonal-handshake pass 8.48528137423857 [] [] {'kind': 'line', 'source': 9, 'target': 0, 'distance': 8.48528137423857, 'origin': (19.75, 12.25), 'point': (13.75, 6.25)}
discus-thrower pass 8.517241379310345 [] [] {'kind': 'line', 'source': 0, 'target': 3, 'distance': 8.517241379310345, 'origin': (18.0, 26.5), 'point': (21.275862068965516, 34.36206896551724)}
dog-paw-on-hand pass 8.0 [] [] {'kind': 'line', 'source': 0, 'target': 2, 'distance': 8.0, 'origin': (24.0, 16.0), 'point': (24.0, 24.0)}
finger-touching-board pass 8.0 [] [] {'kind': 'line', 'source': 6, 'target': 7, 'distance': 8.0, 'origin': (24.0, 25.0), 'point': (32.0, 25.0)}
football-player-approaching-ball pass 9.509347743946801 [] [] {'kind': 'line', 'source': 6, 'target': 2, 'distance': 9.509347743946801, 'origin': (19.75, 31.5), 'point': (24.30357142857143, 23.151785714285715)}
great-sphinx pass 8.0 [] [] {'kind': 'line', 'source': 10, 'target': 11, 'distance': 8.0, 'origin': (15.0, 42.0), 'point': (15.0, 34.0)}
hand-clapper-toys pass 8.0 [] [] {'kind': 'line', 'source': 0, 'target': 2, 'distance': 8.0, 'origin': (20.0, 15.0), 'point': (12.0, 15.0)}
hand-holding-axe pass 8.563184279226974 [] [] {'kind': 'line', 'source': 1, 'target': 6, 'distance': 8.563184279226974, 'origin': (27.0, 20.0), 'point': (22.25, 27.125)}
hand-holding-heart pass 8.0 [] [] {'kind': 'line', 'source': 2, 'target': 3, 'distance': 8.0, 'origin': (22.0, 24.0), 'point': (22.0, 32.0)}
hand-holding-wrench pass 8.0 [] [] {'kind': 'line', 'source': 2, 'target': 13, 'distance': 8.0, 'origin': (18.0, 24.0), 'point': (18.0, 32.0)}
hand-pointing-up pass 8.0 [] [] {'kind': 'line', 'source': 0, 'target': 1, 'distance': 8.0, 'origin': (16.0, 20.0), 'point': (24.0, 20.0)}
hand-selecting-person pass 8.152203596092722 [] [] {'kind': 'line', 'source': 1, 'target': 2, 'distance': 8.152203596092722, 'origin': (24.75, 9.75), 'point': (29.48837209302326, 16.38372093023256)}
hands-cradling-heart pass 8.0 [] [] {'kind': 'line', 'source': 4, 'target': 5, 'distance': 8.0, 'origin': (6.0, 29.0), 'point': (14.0, 29.0)}
