lock-keyhole  15 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/lock-keyhole.svg)
     0.0  arc/quarter-circle   from <circle>  d=M13 16A1 1 0 0 1 12 17
     0.1  arc/quarter-circle   from <circle>  d=M12 17A1 1 0 0 1 11 16
     0.2  arc/quarter-circle   from <circle>  d=M11 16A1 1 0 0 1 12 15
     0.3  arc/quarter-circle   from <circle>  d=M12 15A1 1 0 0 1 13 16
     1.0  line/horizontal      from <rect>  d=M5 10L19 10
     1.1  arc/quarter-circle   from <rect>  d=M19 10A2 2 0 0 1 21 12
     1.2  line/vertical        from <rect>  d=M21 12L21 20
     1.3  arc/quarter-circle   from <rect>  d=M21 20A2 2 0 0 1 19 22
     1.4  line/horizontal      from <rect>  d=M19 22L5 22
     1.5  arc/quarter-circle   from <rect>  d=M5 22A2 2 0 0 1 3 20
     1.6  line/vertical        from <rect>  d=M3 20L3 12
     1.7  arc/quarter-circle   from <rect>  d=M3 12A2 2 0 0 1 5 10
     2.0  line/vertical        from <path>  d=M7 10L7 7
     2.1  arc/circular         from <path>  d=M7 7A5 5 0 0 1 17 7
     2.2  line/vertical        from <path>  d=M17 7L17 10
