paintbrush  20 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/paintbrush.svg)
     0.0  line/diagonal        from <path>  d=M14.622 17.897L3.942 14.984
     1.0  arc/circular         from <path>  d=M18.376 2.622A2.12273 2.12273 0 1 1 21.378 5.624
     1.1  line/diagonal        from <path>  d=M21.378 5.624L17.36 9.643
     1.2  arc/circular         from <path>  d=M17.36 9.643A0.5 0.5 0 0 0 17.36 10.35
     1.3  line/diagonal        from <path>  d=M17.36 10.35L18.304 11.294
     1.4  arc/circular         from <path>  d=M18.304 11.294A2.41 2.41 0 0 1 18.304 14.702
     1.5  line/diagonal        from <path>  d=M18.304 14.702L17.36 15.646
     1.6  arc/circular         from <path>  d=M17.36 15.646A0.5 0.5 0 0 1 16.653 15.646
     1.7  line/diagonal        from <path>  d=M16.653 15.646L8.354 7.348
     1.8  arc/circular         from <path>  d=M8.354 7.348A0.5 0.5 0 0 1 8.354 6.641
     1.9  line/diagonal        from <path>  d=M8.354 6.641L9.298 5.697
    1.10  arc/circular         from <path>  d=M9.298 5.697A2.41 2.41 0 0 1 12.706 5.697
    1.11  line/diagonal        from <path>  d=M12.706 5.697L13.65 6.641
    1.12  arc/circular         from <path>  d=M13.65 6.641A0.5 0.5 0 0 0 14.357 6.641
    1.13  line/diagonal        from <path>  d=M14.357 6.641L18.376 2.622
     2.0  cubic                from <path>  d=M9 8C7.196 10.71 5.03 11.46 2.417 11.948
     2.1  arc/circular         from <path>  d=M2.417 11.948A0.507 0.507 0 0 0 2.115 12.767
     2.2  line/diagonal        from <path>  d=M2.115 12.767L9.435 21.65
     2.3  arc/circular         from <path>  d=M9.435 21.65A1 1 0 0 0 10.62 21.854
     2.4  cubic                from <path>  d=M10.62 21.854C12.735 20.405 16 16.792 16 15
