airmail -> airmail-v2 4 [0.0, 0.0]
amazon-managed-blockchain -> amazon-managed-blockchain-v2 8 [0.0, 0.0]
amazon-workspaces -> amazon-workspaces-v2 1 [0.0, 0.0]
androiddauto-logo -> androiddauto-logo-v2 2 [0.0, 0.0]
angle-left -> angle-left-v2 1 [0.0, 0.0]
angle-right -> angle-right-v2 1 [0.0, 0.0]
apache-netbeans-logo-1 -> apache-netbeans-logo-1-v2 1 [0.0, 0.0]
app-window -> app-window-v2 3 [0.0, 0.0]
app-window-4be97868 -> app-window-4be97868-v2 3 [0.0, 0.0]
app-window-small -> app-window-small-v2 3 [0.0, 0.0]
apple-vision-pro-space-volume -> apple-vision-pro-space-volume-v2 10 [0.0, 0.0]
architecture-window -> architecture-window-v2 1 [0.0, 0.0]
archive-content -> archive-content-v2 2 [0.0, 0.0]
arrow-angle-right -> arrow-angle-right-v2 1 [0.0, 0.0]
arrow-angle-up -> arrow-angle-up-v2 1 [0.0, 0.0]
arrow-bottom-symbol -> arrow-bottom-symbol-v2 1 [0.0, 0.0]
arrow-left-button -> arrow-left-button-v2 7 [0.0, 0.0]
arrow-right-button -> arrow-right-button-v2 4 [0.0, 0.0]
arrow-up-to-bracket -> arrow-up-to-bracket-v2 1 [0.0, 0.0]
artboard-shapes -> artboard-shapes-v2 1 [0.0, 0.0]
backward -> backward-v2 1 [0.0, 0.0]
badge-3 -> badge-3-v2 1 [0.0, 0.0]
batch-01-laptop -> batch-01-laptop-v2 2 [0.0, 0.0]
batch-01-laptop-7a7343f1 -> batch-01-laptop-7a7343f1-v2 2 [0.0, 0.0]
batch-01-laptop-96bd0a70 -> batch-01-laptop-96bd0a70-v2 2 [0.0, 0.0]
batch-01-laptop-computers -> batch-01-laptop-computers-v2 2 [0.0, 0.0]
batch-01-monitor -> batch-01-monitor-v2 5 [0.0, 0.0]
batch-01-monitor-computers -> batch-01-monitor-computers-v2 5 [0.0, 0.0]
bluetooth -> bluetooth-v2 2 [0.14901960784313725, 0.4392156862745098]
bookmark -> bookmark-v2 2 [0.0, 0.0]
bookmark-interface-essential -> bookmark-interface-essential-v2 2 [0.0, 0.0]
camera-35f00e38 -> camera-35f00e38-v2 5 [0.0, 0.0]
camera-video -> camera-video-v2 5 [0.0, 0.0]
card-6c833818 -> card-6c833818-v2 3 [0.0, 0.0]
card-d486b4cd -> card-d486b4cd-v2 3 [0.0, 0.0]
card-fc09bb7b -> card-fc09bb7b-v2 3 [0.0, 0.0]
cell-border-full -> cell-border-full-v2 5 [0.0, 0.0]
charging -> charging-v2 1 [0.0, 0.0]
circle-add -> circle-add-v2 1 [0.0, 0.0]
