kind,icon,width,height,pair_count,status,python_source,source_path
text,text-five-hundred-internal-server-error-ef5df59f-sub32,245,32,1,pass,icon_set/model/icons/sub/text_five_hundred_internal_server_error_ef5df59f_sub32.py,icon_set/dist/text32/text-five-hundred-internal-server-error-ef5df59f.svg
text,text-html-text-label-149e1bb4-sub32,112,32,2,pass,icon_set/model/icons/sub/text_html_text_label_149e1bb4_sub32.py,icon_set/dist/text32/text-html-text-label-149e1bb4.svg
text,text-bold-capital-rent-word-af1e092e-sub32,107,32,2,pass,icon_set/model/icons/sub/text_bold_capital_rent_word_af1e092e_sub32.py,icon_set/dist/text32/text-bold-capital-rent-word-af1e092e.svg
text,text-gdpr-data-privacy-text-602db514-sub32,107,32,3,pass,icon_set/model/icons/sub/text_gdpr_data_privacy_text_602db514_sub32.py,icon_set/dist/text32/text-gdpr-data-privacy-text-602db514.svg
text,text-java-programming-language-text-3679e6b1-sub32,106,32,2,pass,icon_set/model/icons/sub/text_java_programming_language_text_3679e6b1_sub32.py,icon_set/dist/text32/text-java-programming-language-text-3679e6b1.svg
text,side-text-bfdb8de9-sub32-v2,105,32,2,pass,icon_set/model/icons/sub/side_text_bfdb8de9_sub32_v2_bfdb8de9_05a8_4a32_a4cf_47cecb08dfc0.py,/Applications/Workspaces/pictographic/claude_skills/icon_set/dist/text32/side-text-bfdb8de9.svg
text,text-sftp-protocol-text-958df5e6-sub32,104,32,1,pass,icon_set/model/icons/sub/text_sftp_protocol_text_958df5e6_sub32.py,icon_set/dist/text32/text-sftp-protocol-text-958df5e6.svg
text,text-bold-sold-text-indicator-f65bbafd-sub32,102,32,2,pass,icon_set/model/icons/sub/text_bold_sold_text_indicator_f65bbafd_sub32.py,icon_set/dist/text32/text-bold-sold-text-indicator-f65bbafd.svg
text,side-text-1f79a929-sub32,101,32,1,pass,icon_set/model/icons/sub/side_text_1f79a929_sub32.py,icon_set/dist/text32/side-text-1f79a929.svg
text,side-text-5d129d3a-sub32,100,32,1,pass,icon_set/model/icons/sub/side_text_5d129d3a_sub32.py,icon_set/dist/text32/side-text-5d129d3a.svg
text,text-sale-typography-label-5aa2cae3-sub32,100,32,2,pass,icon_set/model/icons/sub/text_sale_typography_label_5aa2cae3_sub32.py,icon_set/dist/text32/text-sale-typography-label-5aa2cae3.svg
text,text-triple-z-sleeping-symbol-4f0dec50-sub32,99,32,5,pass,icon_set/model/icons/sub/text_triple_z_sleeping_symbol_4f0dec50_sub32.py,icon_set/dist/text32/text-triple-z-sleeping-symbol-4f0dec50.svg
icon,ab-text-v2,96,96,1,pass,icon_set/model/icons/sub/ab_text_v2_d8cc67c2_29bf_4e4e_907d_9cbc6e239b43.py,pictographic-primitives/state/ab text in circle_d8cc67c2-29bf-4e4e-907d-9cbc6e239b43.svg
text,text-adobe-indesign-document-file-f5ea5b1f-sub32,96,32,2,pass,icon_set/model/icons/sub/text_adobe_indesign_document_file_f5ea5b1f_sub32.py,icon_set/dist/text32/text-adobe-indesign-document-file-f5ea5b1f.svg
text,text-wav-audio-file-format-e12eafe2-sub32-v3,95,32,1,pass,icon_set/model/icons/sub/text_wav_audio_file_format_e12eafe2_sub32_v3_e12eafe2_80cb_40a2_973e_9a82a5992c7a.py,/Applications/Workspaces/pictographic/claude_skills/pictographic-primitives/text/wav (text)_e12eafe2-80cb-40a2-973e-9a82a5992c7a.svg
text,text-dwg-cad-file-format-26e20867-sub32-v3,93,32,1,pass,icon_set/model/icons/sub/text_dwg_cad_file_format_26e20867_sub32_v3_26e20867_fec6_496d_91f2_39291a2d0fc6.py,/Applications/Workspaces/pictographic/claude_skills/pictographic-primitives/text/dwg (text)_26e20867-fec6-496d-91f2-39291a2d0fc6.svg
