original,role,icon,shared,pairs,status,model,counterpart
a-frame-church-sub32-v3,symbol,a-frame-church-sub32-v3,False,3,pass,../../model/icons/symbol/a_frame_church_sub32_v3_952eb7e7_bc22_4bf3_8ff7_c8b1b16068c9.py,
ab-text,side,ab-text,False,1,pass,../../model/icons/sub/ab_text_d8cc67c2_29bf_4e4e_907d_9cbc6e239b43.py,
access-key-card-sub32,side,access-key-card-sub32,False,3,pass,../../model/icons/sub/access_key_card_sub32_db1da222_3377_4c97_b61f_22ec2ef4ed83.py,
account-profile-card-sub32,symbol,account-profile-card-sub32,False,1,fail,../../model/icons/symbol/account_profile_card_sub32_a2029a15_66fa_482d_a28c_001d915dd91d.py,
acoustic-guitar-sub32,symbol,acoustic-guitar-sub32,False,1,fail,../../model/icons/symbol/acoustic_guitar_sub32_2e3b9013_429e_4cb3_8093_1e76dd0f5307.py,
active-sporting-figure-sub32,symbol,active-sporting-figure-sub32,False,1,pass,../../model/icons/symbol/active_sporting_figure_sub32_62189f84_b3c6_4b58_ba8a_fae03adee313.py,
add-location-map-pin-sub32,side,add-location-map-pin-sub32,False,4,pass,../../model/icons/sub/add_location_map_pin_sub32_4fe0a6bc_2115_4dc8_acaf_745d96ceef9a.py,
add-sub32,side,add-sub32,True,17,pass,../../model/icons/sub/add_sub32_1f3bf2aa_954f_457a_bf9a_49c4b3cb9cd3.py,add-sub32-symbol
add-sub32,symbol,add-sub32-symbol,True,13,pass,../../model/icons/symbol/add_sub32_symbol_1f3bf2aa_954f_457a_bf9a_49c4b3cb9cd3.py,add-sub32
add-user-left-content-sub32,symbol,add-user-left-content-sub32,False,2,fail,../../model/icons/symbol/add_user_left_content_sub32_8ba0173e_ae74_494a_8435_e67c82a71260.py,
add-user-right-content-sub32,symbol,add-user-right-content-sub32,False,4,fail,../../model/icons/symbol/add_user_right_content_sub32_76a7beb2_8dda_4a85_a0e7_ab19ebdecd32.py,
aerosol-spray-can-batch-019-01-sub32,side,aerosol-spray-can-batch-019-01-sub32,False,1,fail,../../model/icons/sub/aerosol_spray_can_batch_019_01_sub32_31ccd5ef_ee58_44ad_8884_4d5e8485d81f.py,
aerosol-spray-can-sub32,side,aerosol-spray-can-sub32,False,1,pass,../../model/icons/sub/aerosol_spray_can_sub32_31ccd5ef_ee58_44ad_8884_4d5e8485d81f.py,
airchair-sub32,symbol,airchair-sub32,False,1,fail,../../model/icons/symbol/airchair_sub32_2e130f83_d8c1_50d3_98ae_5ea5bac53dab.py,
airplane-diagonal-sub32,side,airplane-diagonal-sub32,True,7,pass,../../model/icons/sub/airplane_diagonal_sub32_2ec97e18_7c91_4c51_a73f_9939c19661c8.py,airplane-diagonal-sub32-symbol
airplane-diagonal-sub32,symbol,airplane-diagonal-sub32-symbol,True,9,pass,../../model/icons/symbol/airplane_diagonal_sub32_symbol_2ec97e18_7c91_4c51_a73f_9939c19661c8.py,airplane-diagonal-sub32
airplane-flying-over-globe-sub32,symbol,airplane-flying-over-globe-sub32,False,1,fail,../../model/icons/symbol/airplane_flying_over_globe_sub32_edb3fdfa_2f3d_4eac_81a5_1655e873407e.py,
airplane-horizontal-sub32,side,airplane-horizontal-sub32,False,1,fail,../../model/icons/sub/airplane_horizontal_sub32_0e73af01_7338_412e_b76b_79b5b693ad46.py,
airplane-other-sub32,side,airplane-other-sub32,False,4,fail,../../model/icons/sub/airplane_other_sub32_4a625cc1_8989_433b_89db_ddf1b6a98ffe.py,
airplane-top-view-rounded-wings-sub32,symbol,airplane-top-view-rounded-wings-sub32,False,8,pass,../../model/icons/symbol/airplane_top_view_rounded_wings_sub32_3d6cd0c8_32b5_4b44_85b4_ced44e8263e3.py,
alert-message-45-sub32,side,alert-message-45-sub32,False,4,pass,../../model/icons/sub/alert_message_45_sub32_179dc2f8_89c2_456f_8ce6_03926fbb072a.py,
android-mascot-without-arms-sub32,symbol,android-mascot-without-arms-sub32,False,1,fail,../../model/icons/symbol/android_mascot_without_arms_sub32_596b45cf_ebbb_4b9e_8b3b_4920f3f23506.py,
angled-dental-explorer-curved-tip-sub32,symbol,angled-dental-explorer-curved-tip-sub32,False,4,pass,../../model/icons/symbol/angled_dental_explorer_curved_tip_sub32_34b397e2_5944_4499_8303_bd0af66a4a03.py,
angry-face-sub,side,angry-face-sub,False,1,pass,../../model/icons/sub/angry_face_sub_9802f3b3_14f1_41fb_954f_f96700d43da8.py,
angry-face-symbol-sub32,symbol,angry-face-symbol-sub32,False,1,pass,../../model/icons/symbol/angry_face_symbol_sub32_f4917663_09f9_4afa_aaa6_0b324d7fdec1.py,
angry-person-sub32,symbol,angry-person-sub32,False,1,fail,../../model/icons/symbol/angry_person_sub32_dafb63e7_5f8a_47d0_a53c_945b0a5d235d.py,
angular-gear-sub32,symbol,angular-gear-sub32,False,17,fail,../../model/icons/symbol/angular_gear_sub32_8ce3c661_d221_45e9_90b3_0342f52ed76e.py,
antenna-signal-sub32,symbol,antenna-signal-sub32,False,1,pass,../../model/icons/symbol/antenna_signal_sub32_eb0a1297_ca44_44fa_a815_5e5ae09e5934.py,
antique-axe-sub32,symbol,antique-axe-sub32,False,1,fail,../../model/icons/symbol/antique_axe_sub32_934292aa_0c19_5266_ac04_c173d576425d.py,
aperture-shutter-sub32,symbol,aperture-shutter-sub32,False,1,fail,../../model/icons/symbol/aperture_shutter_sub32_0cb953cf_9714_40a8_af67_7ea79c576259.py,
archery-bow-and-arrow-sub32,symbol,archery-bow-and-arrow-sub32,False,1,pass,../../model/icons/symbol/archery_bow_and_arrow_sub32_9765457f_3e30_4835_b25c_e413e4bbcd41.py,
archery-target-on-feet-sub32,side,archery-target-on-feet-sub32,True,1,pass,../../model/icons/sub/archery_target_on_feet_sub32_7a13fefa_dc3f_4a87_a280_cc766a52f462.py,archery-target-on-feet-sub32-symbol
archery-target-on-feet-sub32,symbol,archery-target-on-feet-sub32-symbol,True,1,pass,../../model/icons/symbol/archery_target_on_feet_sub32_symbol_7a13fefa_dc3f_4a87_a280_cc766a52f462.py,archery-target-on-feet-sub32
archive-content-sub32,side,archive-content-sub32,False,1,fail,../../model/icons/sub/archive_content_sub32_50e8e4be_2921_498a_b6bc_31b5b6442b6e.py,
arrow-angle-right-sub32,symbol,arrow-angle-right-sub32,False,1,pass,../../model/icons/symbol/arrow_angle_right_sub32_9edbcf4f_df9f_48e0_94e9_f06f136a161b.py,
arrow-angle-up-sub32,symbol,arrow-angle-up-sub32,False,2,pass,../../model/icons/symbol/arrow_angle_up_sub32_95cae625_b690_4c5b_ade6_1ec2bc5b1e96.py,
arrow-bend-left,side,arrow-bend-left,False,1,pass,../../model/icons/sub/arrow_bend_left_398ecdf7_5386_489c_ac93_0b8eaf1c441f.py,
arrow-bend-left-v2,side,arrow-bend-left-v2,False,1,unknown,../../model/icons/sub/arrow_bend_left_v2_398ecdf7_5386_489c_ac93_0b8eaf1c441f.py,
