file,old_category,new_category,categories
icon_set/metadata/container/aiming-reticle.json,containers,container,container
icon_set/metadata/container/arched-handle-shopping-basket.json,containers,shopping,shopping primitives
icon_set/metadata/container/award-ribbon-container.json,containers,container,container
icon_set/metadata/container/awning-storefront-container.json,containers,shopping,shopping primitives
icon_set/metadata/container/billboard-container.json,containers,business,business other primitives-generate
icon_set/metadata/container/blank-calendar-container.json,containers,interface-essential,interface-essential other primitives-generate
icon_set/metadata/container/blank-receipt-container.json,containers,shopping,shopping primitives
icon_set/metadata/container/bottom-fold-note-container.json,containers,content,content other primitives-generate
icon_set/metadata/container/brain-hemispheres-container.json,containers,artificial-intelligence,artificial-intelligence primitives
icon_set/metadata/container/browser-window.json,containers,container,container
icon_set/metadata/container/captive-bead-ring.json,containers,container,container
icon_set/metadata/container/car-battery-container.json,containers,transportation,transportation other primitives-generate
icon_set/metadata/container/cargo-delivery-truck-container.json,containers,transportation,transportation primitives
icon_set/metadata/container/circular-speech-bubble.json,containers,container,container
icon_set/metadata/container/clipboard.json,containers,container,container
icon_set/metadata/container/clockwise-refresh-container.json,containers,interface-essential,interface-essential primitives
icon_set/metadata/container/closed-hardcover-book.json,containers,container,container
icon_set/metadata/container/closed-padlock-container.json,containers,interface-essential,interface-essential primitives
icon_set/metadata/container/cloud-speech-bubble.json,containers,container,container
icon_set/metadata/container/container-circle.json,containers,container,container
icon_set/metadata/container/container-diamond.json,containers,container,container
icon_set/metadata/container/container-hexagon.json,containers,container,container
icon_set/metadata/container/container-octagon.json,containers,container,container
icon_set/metadata/container/container-pentagon.json,containers,container,container
icon_set/metadata/container/container-rounded-square.json,containers,container,container
icon_set/metadata/container/container-square.json,containers,container,container
icon_set/metadata/container/cosmetic-cream-jar.json,containers,container,container
icon_set/metadata/container/counter-clockwise-circular-arrow.json,containers,container,container
icon_set/metadata/container/crown-top-shield-container.json,containers,protection,protection primitives
icon_set/metadata/container/crowned-security-shield.json,containers,container,container
icon_set/metadata/container/dashed-circle-shape.json,containers,container,container
icon_set/metadata/container/dashed-rounded-square.json,containers,container,container
icon_set/metadata/container/delivery-van-container.json,containers,transportation,transportation primitives
icon_set/metadata/container/dental-floss-container-main.json,containers,health,health primitives
icon_set/metadata/container/desktop-monitor-bottom-bezel.json,containers,container,container
icon_set/metadata/container/desktop-monitor-flared-stand.json,containers,container,container
icon_set/metadata/container/desktop-monitor.json,containers,container,container
icon_set/metadata/container/digital-video-camera.json,containers,container,container
icon_set/metadata/container/document-with-folded-corner.json,containers,container,container
icon_set/metadata/container/double-concentric-circles.json,containers,container,container
icon_set/metadata/container/double-speech-bubbles.json,containers,container,container
icon_set/metadata/container/eight-pointed-star-badge.json,containers,container,container
icon_set/metadata/container/electric-cooking-stove.json,containers,container,container
icon_set/metadata/container/empty-battery-level-indicator.json,containers,container,container
icon_set/metadata/container/empty-rounded-rectangle.json,containers,container,container
icon_set/metadata/container/eye-outline-container.json,containers,container,container
icon_set/metadata/container/female-gender-symbol.json,containers,container,container
icon_set/metadata/container/female-teacher-with-whiteboard.json,containers,container,container
icon_set/metadata/container/film-frame-container.json,containers,container,container
icon_set/metadata/container/five-point-star-container.json,containers,holidays,holidays other primitives-generate
icon_set/metadata/container/flower-vase-container.json,containers,decoration,decoration other primitives-generate
icon_set/metadata/container/framed-achievement-certificate.json,containers,container,container
icon_set/metadata/container/fringed-area-rug.json,containers,container,container
icon_set/metadata/container/gas-cylinder-container.json,containers,container,container
icon_set/metadata/container/gas-station-fuel-pump.json,containers,container,container
icon_set/metadata/container/gift-box-container.json,containers,rewards,rewards primitives
icon_set/metadata/container/hand-holding-smartphone.json,containers,container,container
icon_set/metadata/container/hanging-pennant-banner.json,containers,container,container
icon_set/metadata/container/hanging-shop-sign.json,containers,container,container
icon_set/metadata/container/hanging-shop-signboard.json,containers,container,container
icon_set/metadata/container/headphones-container.json,containers,audio,audio other primitives-generate
icon_set/metadata/container/heart-outline-container.json,containers,romance,romance other primitives-generate
icon_set/metadata/container/heart-shaped-leaf.json,containers,container,container
icon_set/metadata/container/heavy-scale-measurement-weight.json,containers,container,container
icon_set/metadata/container/hexagonal-molecular-structure.json,containers,container,container
icon_set/metadata/container/horizontal-coupon-voucher.json,containers,container,container
icon_set/metadata/container/horizontal-leaf-frame.json,containers,container,container
icon_set/metadata/container/horizontal-mobile-phone.json,containers,container,container
icon_set/metadata/container/horizontal-sim-card.json,containers,container,container
icon_set/metadata/container/horizontal-ticket-voucher.json,containers,container,container
icon_set/metadata/container/human-head-side-profile.json,containers,primitives-generate,container other primitives-generate
icon_set/metadata/container/incomplete-circular-progress-indicator.json,containers,container,container
icon_set/metadata/container/industrial-factory-building.json,containers,container,container
icon_set/metadata/container/industrial-factory-with-smokestacks.json,containers,container,container
icon_set/metadata/container/industrial-storage-barrel.json,containers,container,container
icon_set/metadata/container/integrated-circuit-microchip.json,containers,container,container
icon_set/metadata/container/iv-infusion-bag-container.json,containers,health,health primitives
icon_set/metadata/container/kitchen-oven-appliance.json,containers,container,container
icon_set/metadata/container/kitchen-toaster-with-bread-slice.json,containers,container,container
icon_set/metadata/container/landscape-mobile-phone.json,containers,container,container
icon_set/metadata/container/laptop-container.json,containers,computers,computers primitives
icon_set/metadata/container/light-bulb-container.json,containers,work,work other primitives-generate
icon_set/metadata/container/liquid-soap-dispenser-bottle.json,containers,container,container
icon_set/metadata/container/location-marker-pin.json,containers,container,container
icon_set/metadata/container/mail-envelope.json,containers,container,container
icon_set/metadata/container/male-gender-symbol.json,containers,container,container
icon_set/metadata/container/medal-with-top-ribbon-container.json,containers,rewards,rewards primitives
icon_set/metadata/container/medical-cross-container.json,containers,health,health primitives
icon_set/metadata/container/metal-tin-can.json,containers,container,container
icon_set/metadata/container/minimalist-power-button.json,containers,container,container
icon_set/metadata/container/mobile-online-storefront.json,containers,container,container
icon_set/metadata/container/mobile-phone-device.json,containers,container,container
icon_set/metadata/container/monitor-keyboard.json,containers,container,container
icon_set/metadata/container/monitor-webcam.json,containers,container,container
icon_set/metadata/container/movie-film-frame.json,containers,container,container
icon_set/metadata/container/network-folder-container.json,containers,folders,folders primitives
icon_set/metadata/container/open-book-container.json,containers,content,primitives content
icon_set/metadata/container/open-envelope-with-letter.json,containers,container,container
icon_set/metadata/container/open-hand-palm.json,containers,container,container
icon_set/metadata/container/open-handle-shopping-basket.json,containers,shopping,shopping primitives
icon_set/metadata/container/outdoor-canopy-event-tent.json,containers,container,container
icon_set/metadata/container/oval-speech-bubble.json,containers,container,container
icon_set/metadata/container/overlapping-documents-container.json,containers,files,files primitives
