kind,id,old_concept,categories,position,main_prefix,main_ids,main_concepts,sub_tail,sub_ids,sub_concepts
side,0005e7b2-b6eb-47bb-9b2c-8d04c5b409tr,cloud monitor upload,internet side-combination top-right,tr,0005e7b2-b6eb-47bb-,0005e7b2-b6eb-47bb-9376-770c2522288d,monitor upload,9b2c-8d04c5b409,1a5b10c5-e3d9-4568-9b2c-8d04c5b409cd,cloud
side,0045f15c-b131-434f-8b6d-a0ac8b9d53br,student f grade,school-learning side-combination bottom-right,br,0045f15c-b131-434f-,0045f15c-b131-434f-9f5d-bf6646957611,mobile phone f text,8b6d-a0ac8b9d53,d057817d-368d-4824-8b6d-a0ac8b9d532d,person
side,00524635-8904-4470-81d8-30276fe161br,gmo food apple dna,ecology side-combination bottom-right,br,00524635-8904-4470-,00524635-8904-4470-bdab-b1b3bd2a41f0,apple whole,81d8-30276fe161,3c216074-a57a-436c-81d8-30276fe1614e,dna vertical
side,00524635-8904-4470-91d5-9bd53083e0tr,gmo food apple,ecology side-combination top-right,tr,00524635-8904-4470-,00524635-8904-4470-bdab-b1b3bd2a41f0,apple whole,91d5-9bd53083e0,61c17587-0f1d-4e91-91d5-9bd53083e084,syringe
side,006f0542-de8b-4cfd-aa87-6963634386tr,card add 2,entertainment side-combination top-right,tr,006f0542-de8b-4cfd-,006f0542-de8b-4cfd-9623-f45ac4159bfd,card,aa87-6963634386,9703959b-8d72-4272-aa87-6963634386ca,circle arrow down
side,00914fcc-a21b-427e-84a4-6416eb861ebr,tea box herbal,drinks side-combination bottom-right,br,00914fcc-a21b-427e-,00914fcc-a21b-427e-8143-269c59f797bc,milk,84a4-6416eb861e,4a47df00-a455-41d9-84a4-6416eb861ee6,leaf
side,00914fcc-a21b-427e-98bb-b90c403098br,food allegic daily milk product 2,drinks side-combination bottom-right,br,00914fcc-a21b-427e-,00914fcc-a21b-427e-8143-269c59f797bc,milk,98bb-b90c403098,42f29bd3-1507-484e-98bb-b90c40309892,warning triangle
side,00ccbf9d-32e5-579a-a50b-2dd50dab7cbr,fashion design 1,clothes side-combination bottom-right,br,00ccbf9d-32e5-579a-,00ccbf9d-32e5-579a-8960-b7860777882d,dress,a50b-2dd50dab7c,4c398c0b-71ae-4681-a50b-2dd50dab7c0f,pencil
side,01358fdb-e97b-45c4-872b-5f1688b6b3br,zoom in page,interface-essential side-combination bottom-right,br,01358fdb-e97b-45c4-,01358fdb-e97b-45c4-b36d-ff26939879f9,square dashed,872b-5f1688b6b3,7b93bc8d-d30f-4c36-872b-5f1688b6b3e8,magnifying glass add
side,01358fdb-e97b-45c4-9503-eb4f350508br,zoom out page,interface-essential side-combination bottom-right,br,01358fdb-e97b-45c4-,01358fdb-e97b-45c4-b36d-ff26939879f9,square dashed,9503-eb4f350508,175a065e-b228-4fa8-9503-eb4f350508b7,magnifying glass minus
side,01358fdb-e97b-45c4-b14a-fe878165b5br,cursor select 2,interface-essential side-combination bottom-right,br,01358fdb-e97b-45c4-,01358fdb-e97b-45c4-b36d-ff26939879f9,square dashed,b14a-fe878165b5,9eb9abed-c76d-498f-b14a-fe878165b5e6,cursor left
side,01358fdb-e97b-45c4-b469-5c78e51614br,cursor select 1,interface-essential side-combination bottom-right,br,01358fdb-e97b-45c4-,01358fdb-e97b-45c4-b36d-ff26939879f9,square dashed,b469-5c78e51614,7f4d8a65-c3a8-4ed5-b469-5c78e5161427,cursor left 1
side,0147e448-85a3-4a2c-ab17-500d6f3b54bl,smart house ventilator,technology side-combination bottom-left,bl,0147e448-85a3-4a2c-,0147e448-85a3-4a2c-aa81-b64b2b695f99,house ventilator,ab17-500d6f3b54,ab133c84-c166-439c-ab17-500d6f3b5471,remote control
side,01799e2a-1842-529a-897e-de17aaf87cbr,car engine 11,transportation side-combination bottom-right,br,01799e2a-1842-529a-,01799e2a-1842-529a-aa77-97d0b896a43d,car engine,897e-de17aaf87c,661caf54-eac9-4e44-897e-de17aaf87c39,flash
side,017fdfd5-cc7b-55c1-a7c1-7d22f0de49br,baby family kids hospital milk bottle,babies side-combination bottom-right,br,017fdfd5-cc7b-55c1-,017fdfd5-cc7b-55c1-97bd-dfe302867ff9,baby care bottle,a7c1-7d22f0de49,4e6c72ac-9782-4bd5-a7c1-7d22f0de49cc,medical cross
side,017fdfd5-cc7b-55c1-b9c9-eae240f9d5br,cannabis extract 3,cannabis side-combination bottom-right,br,017fdfd5-cc7b-55c1-,017fdfd5-cc7b-55c1-97bd-dfe302867ff9,baby care bottle,b9c9-eae240f9d5,219ceabe-349a-4492-b9c9-eae240f9d5c9,cannabis
side,019edb66-6728-4e28-86cd-d13aceeaf9tl,vr user box human,technology side-combination top-left,tl,019edb66-6728-4e28-,019edb66-6728-4e28-ae42-b3dcaedeee84,vr headset 1,86cd-d13aceeaf9,802601c0-689d-481d-86cd-d13aceeaf9a1,cube
side,0209d9df-8004-4d01-9217-7031427f5ftr,helmet cog,business side-combination top-right,tr,0209d9df-8004-4d01-,0209d9df-8004-4d01-8d63-b5f783021ddb,helmet,9217-7031427f5f,1e82d117-570c-41ee-9217-7031427f5fea,cog
side,0275d46c-9a52-48fb-b2b0-750ba68650br,clickjacking,crime side-combination bottom-right,br,0275d46c-9a52-48fb-,0275d46c-9a52-48fb-9993-9a0c2a0a4b89,circle skull 1,b2b0-750ba68650,eab3080c-0a62-4d7b-b2b0-750ba686504c,hand point 1
side,02e59f2b-ee20-5358-836a-62b022c551br,crime tools drugs,crime side-combination bottom-right,br,02e59f2b-ee20-5358-,02e59f2b-ee20-5358-9891-c4a83553f91b,pill,836a-62b022c551,cb2b2f08-6efa-4f5e-836a-62b022c55138,skull
side,02e59f2b-ee20-5358-83b7-893ae04813tr,medical nanobot pill,health side-combination top-right,tr,02e59f2b-ee20-5358-,02e59f2b-ee20-5358-9891-c4a83553f91b,pill,83b7-893ae04813,e98db6d6-6f1e-4606-83b7-893ae0481377,circle nanobot
side,02e59f2b-ee20-5358-84a4-6416eb861ebr,herbal medicine 1,health side-combination bottom-right,br,02e59f2b-ee20-5358-,02e59f2b-ee20-5358-9891-c4a83553f91b,pill,84a4-6416eb861e,4a47df00-a455-41d9-84a4-6416eb861ee6,leaf
side,02e59f2b-ee20-5358-8b6d-a0ac8b9d53tr,drugs dealer 2,crime side-combination top-right,tr,02e59f2b-ee20-5358-,02e59f2b-ee20-5358-9891-c4a83553f91b,pill,8b6d-a0ac8b9d53,d057817d-368d-4824-8b6d-a0ac8b9d532d,person
side,02e59f2b-ee20-5358-8db2-c377d1b6efbr,medicine search 3,health side-combination bottom-right,br,02e59f2b-ee20-5358-,02e59f2b-ee20-5358-9891-c4a83553f91b,pill,8db2-c377d1b6ef,9f1aeae0-d56e-4c60-8db2-c377d1b6ef06,magnifying glass
side,02e59f2b-ee20-5358-9482-695e212976tl,medicine dosage,health side-combination top-left,tl,02e59f2b-ee20-5358-,02e59f2b-ee20-5358-9891-c4a83553f91b,pill,9482-695e212976,5fc5fb01-1b7e-47da-9482-695e21297677,circle plus minus 1
side,02e59f2b-ee20-5358-9674-e8579ef5b0br,pill timer notification,health side-combination bottom-right,br,02e59f2b-ee20-5358-,02e59f2b-ee20-5358-9891-c4a83553f91b,pill,9674-e8579ef5b0,38611f4f-3f62-41bf-9674-e8579ef5b0a0,bell
side,02e59f2b-ee20-5358-b5a8-3ebce79568br,contraceptive pills sperm 1,health side-combination bottom-right,br,02e59f2b-ee20-5358-,02e59f2b-ee20-5358-9891-c4a83553f91b,pill,b5a8-3ebce79568,ff7e8050-8817-4660-b5a8-3ebce79568b0,slash sperm
side,02e59f2b-ee20-5358-b9c9-eae240f9d5br,cannabis medicine 2,cannabis side-combination bottom-right,br,02e59f2b-ee20-5358-,02e59f2b-ee20-5358-9891-c4a83553f91b,pill,b9c9-eae240f9d5,219ceabe-349a-4492-b9c9-eae240f9d5c9,cannabis
side,0347a479-eedb-4204-9c07-82e626a9bcbo,currency sign rand decrease,finance side-combination bottom,bo,0347a479-eedb-4204-,0347a479-eedb-4204-bff5-6fccfb03c880,circle rand,9c07-82e626a9bc,082bbc6d-66f5-4ed1-9c07-82e626a9bcbb,downtrend arrow
side,0347a479-eedb-4204-a6cb-614bce76c8bo,currency sign rand increase,finance side-combination bottom,bo,0347a479-eedb-4204-,0347a479-eedb-4204-bff5-6fccfb03c880,circle rand,a6cb-614bce76c8,3d84de66-b548-49ba-a6cb-614bce76c814,arrow trend up
side,03b427a0-f791-44b1-aaec-bcd922b880to,audio book art,school-learning side-combination top,to,03b427a0-f791-44b1-,03b427a0-f791-44b1-9798-ea43bb973886,book open,aaec-bcd922b880,4e67f929-3e9f-4fd3-aaec-bcd922b880c6,painting
side,040105d2-2c12-45f4-b6e1-870a15b50bbo,beacon remote house,technology side-combination bottom,bo,040105d2-2c12-45f4-,040105d2-2c12-45f4-be06-28d016cfdf96,house,b6e1-870a15b50b,46d6bfb6-5e8d-4747-b6e1-870a15b50b92,beacon remote
side,0421024f-9acd-5342-b9c9-eae240f9d5br,cannabis cupcake,cannabis side-combination bottom-right,br,0421024f-9acd-5342-,0421024f-9acd-5342-ac1f-7cc27002c64f,cupcake,b9c9-eae240f9d5,219ceabe-349a-4492-b9c9-eae240f9d5c9,cannabis
side,0456d2ad-8d6b-457d-80d4-1d8fabe4b3bo,accomodation hotel bed,hotels side-combination bottom,bo,0456d2ad-8d6b-457d-,0456d2ad-8d6b-457d-a5f1-315cf8b0766f,empty house,80d4-1d8fabe4b3,300dd66a-1ed3-4055-80d4-1d8fabe4b3ef,bed
side,05e2ce47-0cc9-49ed-8651-f1619fdbdcbr,bike fixing service 2,transportation side-combination bottom-right,br,05e2ce47-0cc9-49ed-,05e2ce47-0cc9-49ed-8c9a-44eadff51505,mobile phone wrench,8651-f1619fdbdc,ba2c7c5d-7b19-4251-8651-f1619fdbdc5e,bike
side,05e357f1-918a-47c6-86c8-0c433016cabr,touch id user,interface-essential side-combination bottom-right,br,05e357f1-918a-47c6-,05e357f1-918a-47c6-833b-e84768b61f3b,fingerprint,86c8-0c433016ca,3352ce5f-f0e1-4497-86c8-0c433016cab6,profile
side,05e357f1-918a-47c6-8a28-7672b73847tr,identity stolen finger print 2,crime side-combination top-right,tr,05e357f1-918a-47c6-,05e357f1-918a-47c6-833b-e84768b61f3b,fingerprint,8a28-7672b73847,fd80bcd7-73ab-4b8e-8a28-7672b7384731,hook
side,05e357f1-918a-47c6-8db2-c377d1b6efbr,touch id search,interface-essential side-combination bottom-right,br,05e357f1-918a-47c6-,05e357f1-918a-47c6-833b-e84768b61f3b,fingerprint,8db2-c377d1b6ef,9f1aeae0-d56e-4c60-8db2-c377d1b6ef06,magnifying glass
side,05e357f1-918a-47c6-9ac8-8b13a1982ctr,touch id target,interface-essential side-combination top-right,tr,05e357f1-918a-47c6-,05e357f1-918a-47c6-833b-e84768b61f3b,fingerprint,9ac8-8b13a1982c,2d7f6568-79d6-46e9-9ac8-8b13a1982cb3,target
side,05e357f1-918a-47c6-a0b8-bb7f432054br,touch id lock,interface-essential side-combination bottom-right,br,05e357f1-918a-47c6-,05e357f1-918a-47c6-833b-e84768b61f3b,fingerprint,a0b8-bb7f432054,386cb547-821f-4d23-a0b8-bb7f43205473,lock
side,05e357f1-918a-47c6-a3cb-caa71cc3b5br,touch id approved,interface-essential side-combination bottom-right,br,05e357f1-918a-47c6-,05e357f1-918a-47c6-833b-e84768b61f3b,fingerprint,a3cb-caa71cc3b5,9990b35d-e41d-404f-a3cb-caa71cc3b51f,circle check
side,05e357f1-918a-47c6-b4df-bb3dfe7ebebo,touch id denied 1,interface-essential side-combination bottom,bo,05e357f1-918a-47c6-,05e357f1-918a-47c6-833b-e84768b61f3b,fingerprint,b4df-bb3dfe7ebe,8fece960-4425-489e-b4df-bb3dfe7ebe00,circle remove
side,05e357f1-918a-47c6-b4df-bb3dfe7ebebr,touch id denied,interface-essential side-combination bottom-right,br,05e357f1-918a-47c6-,05e357f1-918a-47c6-833b-e84768b61f3b,fingerprint,b4df-bb3dfe7ebe,8fece960-4425-489e-b4df-bb3dfe7ebe00,circle remove
side,05e504e4-9d44-430b-af52-2432d0b107br,online class astronomy,school-learning side-combination bottom-right,br,05e504e4-9d44-430b-,05e504e4-9d44-430b-a3b8-b381d38174f9,monitor astronomy,af52-2432d0b107,108b3cfe-84c6-493f-af52-2432d0b107d3,book open
side,067b08c0-5163-4e0d-8fac-ef87b6b6b4tr,technology ar searching color app,technology side-combination top-right,tr,067b08c0-5163-4e0d-,067b08c0-5163-4e0d-85e0-134c1bd0b193,mobile phone cube,8fac-ef87b6b6b4,34da4047-8adb-44d7-8fac-ef87b6b6b4ee,paintbrush
side,069bf6b4-e362-4e8f-b3ed-a7c76cdfd5tr,smart tv voice control 2,tv side-combination top-right,tr,069bf6b4-e362-4e8f-,069bf6b4-e362-4e8f-b335-eb005c8c4865,modern tv curvy edge,b3ed-a7c76cdfd5,fa82fe91-b9d8-4c1d-b3ed-a7c76cdfd5e8,messages bubble square three dots
