id,old_concept,concept,categories,folder,file
"0005e7b2-b6eb-47bb-9b2c-8d04c5b409tr","cloud monitor upload","Monitor Cloud Data Upload","internet side-combination top-right","side-combination","cloud monitor upload_0005e7b2-b6eb-47bb-9b2c-8d04c5b409tr.svg"
"0045f15c-b131-434f-8b6d-a0ac8b9d53br","student f grade","Student Failing Grade","school-learning side-combination bottom-right","side-combination","student f grade_0045f15c-b131-434f-8b6d-a0ac8b9d53br.svg"
"00524635-8904-4470-81d8-30276fe161br","gmo food apple dna","Genetically Modified Apple","ecology side-combination bottom-right","side-combination","gmo food apple dna_00524635-8904-4470-81d8-30276fe161br.svg"
"00524635-8904-4470-91d5-9bd53083e0tr","gmo food apple","Genetically Modified Apple with Syringe","ecology side-combination top-right","side-combination","gmo food apple_00524635-8904-4470-91d5-9bd53083e0tr.svg"
"006f0542-de8b-4cfd-aa87-6963634386tr","card add 2","Credit Card Deposit Arrow","entertainment side-combination top-right","side-combination","card add 2_006f0542-de8b-4cfd-aa87-6963634386tr.svg"
"00914fcc-a21b-427e-84a4-6416eb861ebr","tea box herbal","Herbal Tea Jar","drinks side-combination bottom-right","side-combination","tea box herbal_00914fcc-a21b-427e-84a4-6416eb861ebr.svg"
"00914fcc-a21b-427e-98bb-b90c403098br","food allegic daily milk product 2","Dairy Allergy Warning Symbol","drinks side-combination bottom-right","side-combination","food allegic daily milk product 2_00914fcc-a21b-427e-98bb-b90c403098br.svg"
"00ccbf9d-32e5-579a-a50b-2dd50dab7cbr","fashion design 1","Fashion Dress Design","clothes side-combination bottom-right","side-combination","fashion design 1_00ccbf9d-32e5-579a-a50b-2dd50dab7cbr.svg"
"01358fdb-e97b-45c4-8263-cac55d88920b","car parking","Car in Parking Space","hotels container-combination","container-combination","car parking_01358fdb-e97b-45c4-8263-cac55d88920b.svg"
"01358fdb-e97b-45c4-872b-5f1688b6b3br","zoom in page","Magnifying Glass Zooming into Selection","interface-essential side-combination bottom-right","side-combination","zoom in page_01358fdb-e97b-45c4-872b-5f1688b6b3br.svg"
"01358fdb-e97b-45c4-8ad6-d194ab424293","resize expand","Expanding Square Frame","design container-combination","container-combination","resize expand_01358fdb-e97b-45c4-8ad6-d194ab424293.svg"
"01358fdb-e97b-45c4-9503-eb4f350508br","zoom out page","Zoom Out Page Magnifying Glass","interface-essential side-combination bottom-right","side-combination","zoom out page_01358fdb-e97b-45c4-9503-eb4f350508br.svg"
"01358fdb-e97b-45c4-b14a-fe878165b5br","cursor select 2","Marquee Selection Cursor","interface-essential side-combination bottom-right","side-combination","cursor select 2_01358fdb-e97b-45c4-b14a-fe878165b5br.svg"
"01358fdb-e97b-45c4-b469-5c78e51614br","cursor select 1","Cursor Area Selection Tool","interface-essential side-combination bottom-right","side-combination","cursor select 1_01358fdb-e97b-45c4-b469-5c78e51614br.svg"
"0147e448-85a3-4a2c-ab17-500d6f3b54bl","smart house ventilator","Smart Home Ventilation Remote Control","technology side-combination bottom-left","side-combination","smart house ventilator_0147e448-85a3-4a2c-ab17-500d6f3b54bl.svg"
"01799e2a-1842-529a-897e-de17aaf87cbr","car engine 11","Electric Vehicle Engine Symbol","transportation side-combination bottom-right","side-combination","car engine 11_01799e2a-1842-529a-897e-de17aaf87cbr.svg"
"017fdfd5-cc7b-55c1-a7c1-7d22f0de49br","baby family kids hospital milk bottle","Baby Bottle and Medical Cross","babies side-combination bottom-right","side-combination","baby family kids hospital milk bottle_017fdfd5-cc7b-55c1-a7c1-7d22f0de49br.svg"
"017fdfd5-cc7b-55c1-b9c9-eae240f9d5br","cannabis extract 3","Cannabis Extract Oil Bottle","cannabis side-combination bottom-right","side-combination","cannabis extract 3_017fdfd5-cc7b-55c1-b9c9-eae240f9d5br.svg"
"019edb66-6728-4e28-86cd-d13aceeaf9tl","vr user box human","Virtual Reality User with 3D Cube","technology side-combination top-left","side-combination","vr user box human_019edb66-6728-4e28-86cd-d13aceeaf9tl.svg"
"0209d9df-8004-4d01-9217-7031427f5ftr","helmet cog","Safety Helmet and Gear","business side-combination top-right","side-combination","helmet cog_0209d9df-8004-4d01-9217-7031427f5ftr.svg"
"0275d46c-9a52-48fb-b2b0-750ba68650br","clickjacking","Hand Pointing At Skull Button","crime side-combination bottom-right","side-combination","clickjacking_0275d46c-9a52-48fb-b2b0-750ba68650br.svg"
"02e59f2b-ee20-5358-836a-62b022c551br","crime tools drugs","Lethal Capsule and Skull Symbol","crime side-combination bottom-right","side-combination","crime tools drugs_02e59f2b-ee20-5358-836a-62b022c551br.svg"
"02e59f2b-ee20-5358-83b7-893ae04813tr","medical nanobot pill","Nanotechnology Medical Capsule","health side-combination top-right","side-combination","medical nanobot pill_02e59f2b-ee20-5358-83b7-893ae04813tr.svg"
"02e59f2b-ee20-5358-84a4-6416eb861ebr","herbal medicine 1","Herbal Medicine Capsule","health side-combination bottom-right","side-combination","herbal medicine 1_02e59f2b-ee20-5358-84a4-6416eb861ebr.svg"
"02e59f2b-ee20-5358-8b6d-a0ac8b9d53tr","drugs dealer 2","Medicine Capsule and User Symbol","crime side-combination top-right","side-combination","drugs dealer 2_02e59f2b-ee20-5358-8b6d-a0ac8b9d53tr.svg"
"02e59f2b-ee20-5358-8db2-c377d1b6efbr","medicine search 3","Medicine Capsule Search","health side-combination bottom-right","side-combination","medicine search 3_02e59f2b-ee20-5358-8db2-c377d1b6efbr.svg"
"02e59f2b-ee20-5358-9482-695e212976tl","medicine dosage","Pill capsule with plus minus symbols","health side-combination top-left","side-combination","medicine dosage_02e59f2b-ee20-5358-9482-695e212976tl.svg"
"02e59f2b-ee20-5358-9674-e8579ef5b0br","pill timer notification","Medication Reminder Notification Bell","health side-combination bottom-right","side-combination","pill timer notification_02e59f2b-ee20-5358-9674-e8579ef5b0br.svg"
"02e59f2b-ee20-5358-b5a8-3ebce79568br","contraceptive pills sperm 1","Contraceptive Pill and Sperm Prohibition","health side-combination bottom-right","side-combination","contraceptive pills sperm 1_02e59f2b-ee20-5358-b5a8-3ebce79568br.svg"
"02e59f2b-ee20-5358-b9c9-eae240f9d5br","cannabis medicine 2","Medical Cannabis Capsule","cannabis side-combination bottom-right","side-combination","cannabis medicine 2_02e59f2b-ee20-5358-b9c9-eae240f9d5br.svg"
"0347a479-eedb-4204-9c07-82e626a9bcbo","currency sign rand decrease","South African Rand Decrease","finance side-combination bottom","side-combination","currency sign rand decrease_0347a479-eedb-4204-9c07-82e626a9bcbo.svg"
"0347a479-eedb-4204-a6cb-614bce76c8bo","currency sign rand increase","South African Rand Value Growth","finance side-combination bottom","side-combination","currency sign rand increase_0347a479-eedb-4204-a6cb-614bce76c8bo.svg"
"03b427a0-f791-44b1-aaec-bcd922b880to","audio book art","Open Book with Paint Palette","school-learning side-combination top","side-combination","audio book art_03b427a0-f791-44b1-aaec-bcd922b880to.svg"
"040105d2-2c12-45f4-b6e1-870a15b50bbo","beacon remote house","Smart Home Remote Control","technology side-combination bottom","side-combination","beacon remote house_040105d2-2c12-45f4-b6e1-870a15b50bbo.svg"
"0421024f-9acd-5342-b9c9-eae240f9d5br","cannabis cupcake","Marijuana Cupcake with Cherry","cannabis side-combination bottom-right","side-combination","cannabis cupcake_0421024f-9acd-5342-b9c9-eae240f9d5br.svg"
"0456d2ad-8d6b-457d-80d4-1d8fabe4b3bo","accomodation hotel bed","House with Bed","hotels side-combination bottom","side-combination","accomodation hotel bed_0456d2ad-8d6b-457d-80d4-1d8fabe4b3bo.svg"
"05e2ce47-0cc9-49ed-8651-f1619fdbdcbr","bike fixing service 2","Bicycle Repair Mobile App","transportation side-combination bottom-right","side-combination","bike fixing service 2_05e2ce47-0cc9-49ed-8651-f1619fdbdcbr.svg"
"05e357f1-918a-47c6-86c8-0c433016cabr","touch id user","Biometric User Authentication","interface-essential side-combination bottom-right","side-combination","touch id user_05e357f1-918a-47c6-86c8-0c433016cabr.svg"
"05e357f1-918a-47c6-8a28-7672b73847tr","identity stolen finger print 2","Fingerprint Phishing Hook","crime side-combination top-right","side-combination","identity stolen finger print 2_05e357f1-918a-47c6-8a28-7672b73847tr.svg"
"05e357f1-918a-47c6-8db2-c377d1b6efbr","touch id search","Biometric Fingerprint Search","interface-essential side-combination bottom-right","side-combination","touch id search_05e357f1-918a-47c6-8db2-c377d1b6efbr.svg"
"05e357f1-918a-47c6-9ac8-8b13a1982ctr","touch id target","Fingerprint Scanning Target","interface-essential side-combination top-right","side-combination","touch id target_05e357f1-918a-47c6-9ac8-8b13a1982ctr.svg"
"05e357f1-918a-47c6-a0b8-bb7f432054br","touch id lock","Fingerprint Security Lock","interface-essential side-combination bottom-right","side-combination","touch id lock_05e357f1-918a-47c6-a0b8-bb7f432054br.svg"
"05e357f1-918a-47c6-a3cb-caa71cc3b5br","touch id approved","Fingerprint Verification Success","interface-essential side-combination bottom-right","side-combination","touch id approved_05e357f1-918a-47c6-a3cb-caa71cc3b5br.svg"
"05e357f1-918a-47c6-b4df-bb3dfe7ebebo","touch id denied 1","Fingerprint Access Denied","interface-essential side-combination bottom","side-combination","touch id denied 1_05e357f1-918a-47c6-b4df-bb3dfe7ebebo.svg"
"05e357f1-918a-47c6-b4df-bb3dfe7ebebr","touch id denied","Fingerprint Access Denied","interface-essential side-combination bottom-right","side-combination","touch id denied_05e357f1-918a-47c6-b4df-bb3dfe7ebebr.svg"
"05e504e4-9d44-430b-af52-2432d0b107br","online class astronomy","Online Astronomy Class and Book","school-learning side-combination bottom-right","side-combination","online class astronomy_05e504e4-9d44-430b-af52-2432d0b107br.svg"
"067b08c0-5163-4e0d-8fac-ef87b6b6b4tr","technology ar searching color app","Mobile 3D Design App","technology side-combination top-right","side-combination","technology ar searching color app_067b08c0-5163-4e0d-8fac-ef87b6b6b4tr.svg"
"069bf6b4-e362-4e8f-85da-95879335b5f2","smart tv voice control 1","Television with Voice Command","tv container-combination","container-combination","smart tv voice control 1_069bf6b4-e362-4e8f-85da-95879335b5f2.svg"
"069bf6b4-e362-4e8f-895b-b795fcc497b0","modern tv uhd","Ultra HD Television Screen","tv container-combination","container-combination","modern tv uhd_069bf6b4-e362-4e8f-895b-b795fcc497b0.svg"
