id,concept,old_categories,new_categories,reason,linked_profiles
3feb4206-fa8a-4e2f-b529-75b019f2d344,Password Input Field,other,other primitives-generate,other-generate,SOLO48
3ff85295-bc70-4db2-bf5d-2efaa7b0cead,Precision Target Reticle,war other,war other primitives-generate,other-generate,SOLO48
40067bd5-d36d-55f3-85e2-1e023ada9bcd,Simple Leafy Deciduous Tree,nature other,nature other primitives-generate,other-generate,SOLO48
407d6274-edc4-4a15-9f28-8cb7f6ace9d3,Drawstring Money Bag,video-games other,video-games other primitives-generate,other-generate,SOLO48
40a4f300-53e3-48e6-92cd-450ccb55f9a3,Horizontal Dog Bone Shape,other,other primitives-generate,other-generate,SOLO48
40ae9091-ac10-4c02-88bc-c04028f85e36,Simple Minimalist Home Icon,interface-essential other,interface-essential other primitives-generate,other-generate,SOLO48
40c0c4ab-7cf4-4c75-b8fe-e6f91b010511,Three Leaf Plant Sprout,other,other primitives-generate,other-generate,SOLO48
4100f85e-0f38-4aa9-b1a2-3069cab1dbab,Mobile Healthcare Smartphone,other,other primitives-generate,other-generate,SOLO48
415842e2-9e42-4cd1-8038-df3362e7ac71,SD Memory Storage Card,electronics other,electronics other primitives-generate,other-generate,SOLO48
41658dd2-6728-40b7-9a13-fdc34b4bb0ec,User Profile Card,other,other primitives-generate,other-generate,SOLO48
41ac4021-b76d-461a-b2aa-8715fc87db9e,Password Input Field,other,other primitives-generate,other-generate,
41f90a9c-b243-4a88-8a3f-f48976903507,Rounded Video Camera,other,other primitives-generate,other-generate,SOLO48
422fa961-4cef-5bf4-8415-0550aee83639,Beauty Lipstick Tube,beauty other,beauty other primitives-generate,other-generate,SOLO48
42e97a5b-5209-4677-a990-d97a3b5141d1,Simple Classic Key,state other,state other primitives-generate,other-generate,SOLO48
43e01ba4-436c-4bd3-8b03-1376b326f65b,Open Envelope with Letter,container other,container other primitives-generate,other-generate,SOLO48
44a8272b-04c4-4a7c-b200-ee122a35ef32,Laptop with Skull Malware,combination other,combination other primitives-generate,other-generate,SOLO48
46927056-6b93-47f9-8be7-c7d7312f7f7a,Advertisement Text Symbol,other state,other state primitives-generate,other-generate,TEXT28 TEXT32
46d6bfb6-5e8d-4747-b6e1-870a15b50b92,Wireless Beacon Remote Signal,symbol state other,symbol state other primitives-generate,other-generate,SOLO48 SUB32
47a2b590-49ff-4756-986c-0ff92fb659e6,Closed Braille Book,other,other primitives-generate,other-generate,SOLO48
47a78895-0132-42e2-8459-c80e2e317111,Simple Flying Airplane,other,other primitives-generate,other-generate,SOLO48
48275127-bff2-4cea-93b6-1c2cde6c49d2,Laptop with Medical Cross Symbol,combination other,combination other primitives-generate,other-generate,SOLO48
4848751f-e3d9-4196-a6c6-8ecbc7983f2d,User Profile Circle Icon,state other,state other primitives-generate,other-generate,SOLO48 SUB32
485264e5-d5d9-4af5-a33a-88ae3ae2126e,Professional Employee Resume,other,other primitives-generate,other-generate,SOLO48
487bb205-f85a-40f0-8980-b72bc88fa1c8,Vertical Up and Down Arrows,other,other primitives-generate,other-generate,SOLO48
493fbc21-a820-489e-a4e9-61e3aaf6c7b5,Wireless Wi-Fi Network Signal,other,other primitives-generate,other-generate,SOLO48
49acd46c-d4e7-4fa0-86d6-5c0b939a7ccf,Human Head Question Mark,interface-essential other,interface-essential other primitives-generate,other-generate,
49cd19ff-6293-48fa-8d62-d508a17a80ae,Disabled Battery Symbol,symbol other,symbol other primitives-generate,other-generate,SOLO48 SYMBOL32
419cefd4-6e8d-4c3c-8b36-3566f3fa846b,Handheld Megaphone Bullhorn Symbol,interface-essential other,interface-essential other primitives-generate,other-generate,SOLO48 SUB32
41bb0b4b-dc69-42d5-bf22-17d0a68fea2b,Emergency Medical First Aid Kit,state other,state other primitives-generate,other-generate,SOLO48 SUB32
41f3ad63-cd17-441d-b26d-945da63c6f7c,Landscape Picture Media File,files other,files other primitives-generate,other-generate,CONTAINER64 SOLO48
4297dd9b-55dc-43a4-a561-14dd5b598993,White Blood Cell,container other,container other primitives-generate,other-generate,SOLO48
42eb00ca-58b3-40e3-9e1c-e058c8e11ff4,Square Parking Area Sign,other,other primitives-generate,other-generate,SOLO48
42f29bd3-1507-484e-98bb-b90c40309892,Exclamation Point Warning Triangle,symbol state other,symbol state other primitives-generate,other-generate,SOLO48 SUB32 SYMBOL32
43ebe571-7748-45bd-9b7e-bba72b5f6a14,Angry Skull Icon,interface-essential other,interface-essential other primitives-generate,other-generate,SOLO48 SUB32 SYMBOL32
449c7cfd-5f9c-48e0-b0b3-0622be2b53fa,Open Robotic Hand,other,other primitives-generate,other-generate,SOLO48
453d5cee-208b-4803-8d43-ec5df45da9f9,Circle Left Arrow Pointer,other,other primitives-generate,other-generate,SOLO48
46ed5a6c-34d8-477a-824c-2bb97b09c0b6,Wireless Remote Control,state other,state other primitives-generate,other-generate,SOLO48 SUB32
470b12d0-fbc3-4ff0-a9a3-8290363fff35,Binary Data Document,other,other primitives-generate,other-generate,SOLO48
482de8d8-4394-4977-8b8b-6abf5b4074e7,Multiple User Account Profiles,other,other primitives-generate,other-generate,SOLO48
49a79098-c0be-4d5e-8dd8-ff360a2a7d0d,Smartphone with Clock Symbol,other,other primitives-generate,other-generate,SOLO48 SYMBOL32
423b5ed5-4581-4edf-8bc7-7568284d1eea,Rounded Square Play Button,other,other primitives-generate,other-generate,
42fc24d7-6d3f-4bc3-b241-e57ba18a1621,Smartwatch with Pound Symbol,combination,combination primitives,added-primitives,
44b46d7a-ceaf-45e4-8f40-848179ec4b32,Vertical Movie Film Frame,other,other primitives-generate,other-generate,SOLO48
44f15e46-f72d-4f19-a578-565cb7370abe,Location Marker Pin,container other,container other primitives-generate,other-generate,SOLO48
45834e5a-9017-439c-b667-28f5cb79a371,Add Video Camera,other,other primitives-generate,other-generate,SOLO48
45881775-2179-41cc-98a1-78a598c550c1,Female User Avatar,avatars other,avatars other primitives-generate,other-generate,SOLO48
46825186-2cd0-49e4-9bcb-dfcef97654be,Female Teacher with Whiteboard,container other,container other primitives-generate,other-generate,SOLO48
